section,category,value,unit
Festival Overview,Total Detected Festivals,110,count
Festival Overview,Electronic Festivals Share,42,percent
Festival Overview,Pop Festivals Share,18,percent
Festival Overview,Metal Festivals Share,11,percent
Festival Overview,Other Festivals Share,29,percent
Festival Overview - Electronic,Huge,30,percent
Festival Overview - Electronic,Medium,30,percent
Festival Overview - Electronic,Big,18,percent
Festival Overview - Electronic,Other sizes,22,percent
Festival Overview - Pop,Mega,44,percent
Festival Overview - Pop,Medium,28,percent
Festival Overview - Pop,Big,16,percent
Festival Overview - Pop,Other sizes,12,percent
Festival Overview - Metal,Small,57,percent
Festival Overview - Metal,Huge,27,percent
Festival Overview - Metal,Big,14,percent
Festival Overview - Metal,Other sizes,2,percent
