section,category,value,unit
Festival Overview,Total Detected Festivals,199,count
Festival Overview,Electronic Festivals Share,41,percent
Festival Overview,Pop Festivals Share,16,percent
Festival Overview,Rock Festivals Share,13,percent
Festival Overview,Other Festivals Share,30,percent
Festival Overview - Electronic,Medium,33,percent
Festival Overview - Electronic,Big,29,percent
Festival Overview - Electronic,Huge,16,percent
Festival Overview - Electronic,Other sizes,22,percent
Festival Overview - Pop,Huge,44,percent
Festival Overview - Pop,Mega,21,percent
Festival Overview - Pop,Big,15,percent
Festival Overview - Pop,Other sizes,20,percent
Festival Overview - Rock,Huge,37,percent
Festival Overview - Rock,Big,21,percent
Festival Overview - Rock,Mega,18,percent
Festival Overview - Rock,Other sizes,24,percent
