list_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Events,1,Bad Bunny,PRI,1,1,Latin
Events,2,BTS,KOR,2,1,Pop
Events,3,Justin Bieber,CAN,4,3,Pop
Events,4,Drake,CAN,5,1,Hip Hop
Events,5,The Weeknd,CAN,7,5,Pop
Events,6,Billie Eilish,USA,8,6,Pop
Events,7,Ariana Grande,USA,9,7,Pop
Events,8,Ed Sheeran,GBR,14,11,Pop
Festivals,1,Katy Perry,USA,23,19,Pop
Festivals,2,J Balvin,COL,25,4,Latin
Festivals,3,Linkin Park,USA,35,3,Rock
Festivals,4,Olivia Rodrigo,USA,39,25,Pop
Festivals,5,Nicki Minaj,USA,40,3,Hip Hop
Festivals,6,David Guetta,FRA,42,1,Electronic
Festivals,7,Dua Lipa,GBR,43,26,Pop
Festivals,8,Imagine Dragons,USA,44,4,Rock
