performance_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Event,1,Bad Bunny,PRI,1,1,Latin
Event,2,BTS,KOR,2,1,Pop
Event,3,Taylor Swift,USA,3,2,Pop
Event,4,Justin Bieber,CAN,4,3,Pop
Event,5,Drake,CAN,5,1,Hip Hop
Event,6,Bruno Mars,USA,6,4,Pop
Event,7,The Weeknd,CAN,7,5,Pop
Event,8,Billie Eilish,USA,8,6,Pop
Festival,1,J Balvin,COL,25,4,Latin
Festival,2,Maluma,COL,37,9,Latin
Festival,3,Olivia Rodrigo,USA,39,25,Pop
Festival,4,Rauw Alejandro,PRI,52,11,Latin
Festival,5,Post Malone,USA,54,7,Hip Hop
Festival,6,Zara Larsson,SWE,57,33,Pop
Festival,7,50 Cent,USA,58,8,Hip Hop
Festival,8,Marshmello,USA,63,2,Electronic
