section,category,value,unit
Festival Overview,Total Detected Festivals,31,count
Festival Overview,Electronic Festivals Share,44,percent
Festival Overview,Rock Festivals Share,20,percent
Festival Overview,Pop Festivals Share,14,percent
Festival Overview,Other Festivals Share,22,percent
Festival Overview - Electronic,Huge,51,percent
Festival Overview - Electronic,Medium,23,percent
Festival Overview - Electronic,Big,20,percent
Festival Overview - Electronic,Other sizes,6,percent
Festival Overview - Rock,Huge,55,percent
Festival Overview - Rock,Mega,23,percent
Festival Overview - Rock,Medium,16,percent
Festival Overview - Rock,Other sizes,6,percent
Festival Overview - Pop,Mega,62,percent
Festival Overview - Pop,Big,21,percent
Festival Overview - Pop,Medium,16,percent
Festival Overview - Pop,Other sizes,1,percent
