section,category,value,unit
Event Overview,Total Detected Events,841,count
Event Overview,Pop Events Share,38,percent
Event Overview,Latin Events Share,20,percent
Event Overview,Rock Events Share,15,percent
Event Overview,Other Events Share,27,percent
Event Overview - Pop,Hall,62,percent
Event Overview - Pop,Other,14,percent
Event Overview - Pop,Club,8,percent
Event Overview - Pop,Other venues,16,percent
Event Overview - Latin,Hall,38,percent
Event Overview - Latin,Bar,18,percent
Event Overview - Latin,Stadium,15,percent
Event Overview - Latin,Other venues,29,percent
Event Overview - Rock,Hall,48,percent
Event Overview - Rock,Club,23,percent
Event Overview - Rock,Bar,12,percent
Event Overview - Rock,Other venues,17,percent
