section,category,value,unit
Festival Overview,Total Detected Festivals,25,count
Festival Overview,Electronic Festivals Share,46,percent
Festival Overview,Pop Festivals Share,35,percent
Festival Overview,Hip Hop Festivals Share,8,percent
Festival Overview,Other Festivals Share,11,percent
Festival Overview - Electronic,Mega,33,percent
Festival Overview - Electronic,Medium,28,percent
Festival Overview - Electronic,Huge,20,percent
Festival Overview - Electronic,Other sizes,19,percent
Festival Overview - Pop,Mega,42,percent
Festival Overview - Pop,Huge,40,percent
Festival Overview - Pop,Big,7,percent
Festival Overview - Pop,Other sizes,11,percent
Festival Overview - Hip Hop,Huge,60,percent
Festival Overview - Hip Hop,Medium,17,percent
Festival Overview - Hip Hop,Big,13,percent
Festival Overview - Hip Hop,Other sizes,10,percent
