list_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Events,1,Justin Bieber,CAN,4,3,Pop
Events,2,Shakira,COL,13,10,Pop
Events,3,Ed Sheeran,GBR,14,11,Pop
Events,4,Coldplay,GBR,28,1,Rock
Events,5,Marshmello,USA,63,2,Electronic
Events,6,Alan Walker,NOR,72,3,Electronic
Events,7,Diljit Dosanjh,IND,112,55,Pop
Events,8,DJ Snake,FRA,138,6,Electronic
Festivals,1,Linkin Park,USA,35,3,Rock
Festivals,2,David Guetta,FRA,42,1,Electronic
Festivals,3,Jason Derulo,USA,55,32,Pop
Festivals,4,Shawn Mendes,CAN,75,42,Pop
Festivals,5,Green Day,USA,168,1,Punk
Festivals,6,Kehlani,USA,194,5,R&B
Festivals,7,Playboi Carti,USA,242,39,Hip Hop
Festivals,8,Alok,BRA,274,11,Electronic
