section,category,subcategory,value,unit
Event Overview,Total,Detected Events,211,count
Event Overview,Genre Share,Rock,35,percent
Event Overview,Genre Share,Pop,34,percent
Event Overview,Genre Share,Electronic,13,percent
Event Overview,Genre Share,Other,18,percent
Event Overview,Rock Events Venue,Other,25,percent
Event Overview,Rock Events Venue,Stadium,23,percent
Event Overview,Rock Events Venue,Hall,17,percent
Event Overview,Rock Events Venue,Other_2,35,percent
Event Overview,Pop Events Venue,Other,30,percent
Event Overview,Pop Events Venue,Hall,25,percent
Event Overview,Pop Events Venue,Stadium,22,percent
Event Overview,Pop Events Venue,Other_2,23,percent
Event Overview,Electronic Events Venue,Club,65,percent
Event Overview,Electronic Events Venue,Bar,24,percent
Event Overview,Electronic Events Venue,Other,10,percent
Event Overview,Electronic Events Venue,Other_2,1,percent
