section,category,value,unit
Festival Overview,Total Detected Festivals,149,count
Festival Overview,Electronic Festivals Share,37,percent
Festival Overview,Rock Festivals Share,16,percent
Festival Overview,Hip Hop Festivals Share,15,percent
Festival Overview,Other Festivals Share,32,percent
Festival Overview - Electronic,Medium,36,percent
Festival Overview - Electronic,Big,22,percent
Festival Overview - Electronic,Small,20,percent
Festival Overview - Electronic,Other sizes,22,percent
Festival Overview - Rock,Big,29,percent
Festival Overview - Rock,Medium,27,percent
Festival Overview - Rock,Mega,25,percent
Festival Overview - Rock,Other sizes,19,percent
Festival Overview - Hip Hop,Big,33,percent
Festival Overview - Hip Hop,Medium,27,percent
Festival Overview - Hip Hop,Mega,19,percent
Festival Overview - Hip Hop,Other sizes,21,percent
