list_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Events,1,Bad Bunny,PRI,1,1,Latin
Events,2,Taylor Swift,USA,3,2,Pop
Events,3,Justin Bieber,CAN,4,3,Pop
Events,4,Drake,CAN,5,1,Hip Hop
Events,5,Bruno Mars,USA,6,4,Pop
Events,6,The Weeknd,CAN,7,5,Pop
Events,7,Billie Eilish,USA,8,6,Pop
Events,8,Ed Sheeran,GBR,14,11,Pop
Festivals,1,Bad Bunny,PRI,1,1,Latin
Festivals,2,Ed Sheeran,GBR,14,11,Pop
Festivals,3,BLACKPINK,KOR,19,15,Pop
Festivals,4,Katy Perry,USA,23,19,Pop
Festivals,5,Peso Pluma,MEX,30,7,Latin
Festivals,6,Stray Kids,KOR,31,21,Pop
Festivals,7,Lana Del Rey,USA,33,22,Pop
Festivals,8,Linkin Park,USA,35,3,Rock
