section,category,value,unit
Event Overview,Total Detected Events,12,count
Event Overview,Hip Hop Events Share,44,percent
Event Overview,African Events Share,25,percent
Event Overview,Electronic Events Share,14,percent
Event Overview,Other Events Share,17,percent
Event Overview - Hip Hop,Other,40,percent
Event Overview - Hip Hop,Bar,20,percent
Event Overview - Hip Hop,Hall,20,percent
Event Overview - Hip Hop,Other venues,20,percent
Event Overview - African,Other,33,percent
Event Overview - African,Hall,33,percent
Event Overview - African,Public / Outdoor,33,percent
Event Overview - African,Other venues,1,percent
Event Overview - Electronic,Other,100,percent
Event Overview - Electronic,Other venues,0,percent
