section,category,value,unit
Festival Overview,Total Detected Festivals,21,count
Festival Overview,Electronic Festivals Share,53,percent
Festival Overview,Pop Festivals Share,33,percent
Festival Overview,R&B Festivals Share,5,percent
Festival Overview,Other Festivals Share,9,percent
Festival Overview - Electronic,Big,55,percent
Festival Overview - Electronic,Huge,31,percent
Festival Overview - Electronic,Medium,11,percent
Festival Overview - Electronic,Other sizes,3,percent
Festival Overview - Pop,Mega,56,percent
Festival Overview - Pop,Medium,27,percent
Festival Overview - Pop,Big,16,percent
Festival Overview - Pop,Other sizes,1,percent
Festival Overview - R&B,Big,66,percent
Festival Overview - R&B,Medium,34,percent
Festival Overview - R&B,Other sizes,0,percent
