section,category,value,unit
Festival Overview,Total Detected Festivals,79,count
Festival Overview,Electronic Festivals Share,31,percent
Festival Overview,Pop Festivals Share,30,percent
Festival Overview,Rock Festivals Share,14,percent
Festival Overview,Other Festivals Share,25,percent
Festival Overview - Electronic,Huge,45,percent
Festival Overview - Electronic,Medium,24,percent
Festival Overview - Electronic,Small,15,percent
Festival Overview - Electronic,Other sizes,16,percent
Festival Overview - Pop,Medium,54,percent
Festival Overview - Pop,Big,24,percent
Festival Overview - Pop,Mega,15,percent
Festival Overview - Pop,Other sizes,7,percent
Festival Overview - Rock,Medium,48,percent
Festival Overview - Rock,Huge,21,percent
Festival Overview - Rock,Big,19,percent
Festival Overview - Rock,Other sizes,12,percent
