section,category,value,unit
Festival Overview,Total Detected Festivals,17,count
Festival Overview,Electronic Festivals Share,60,percent
Festival Overview,Rock Festivals Share,10,percent
Festival Overview,Classical Festivals Share,10,percent
Festival Overview,Other Festivals Share,20,percent
Festival Overview - Electronic,Medium,71,percent
Festival Overview - Electronic,Small,29,percent
Festival Overview - Electronic,Other sizes,0,percent
Festival Overview - Rock,Big,85,percent
Festival Overview - Rock,Small,15,percent
Festival Overview - Rock,Other sizes,0,percent
Festival Overview - Classical,Medium,87,percent
Festival Overview - Classical,Small,13,percent
Festival Overview - Classical,Other sizes,0,percent
