performance_type,rank,artist,country,viberate_rank_overall,viberate_rank_genre,genre
Event,1,Bad Bunny,PRI,1,1,Latin
Event,2,BTS,KOR,2,1,Pop
Event,3,Taylor Swift,USA,3,2,Pop
Event,4,Justin Bieber,CAN,4,3,Pop
Event,5,Drake,CAN,5,1,Hip Hop
Event,6,Bruno Mars,USA,6,4,Pop
Event,7,The Weeknd,CAN,7,5,Pop
Event,8,Billie Eilish,USA,8,6,Pop
Festival,1,Drake,CAN,5,1,Hip Hop
Festival,2,Ed Sheeran,GBR,14,11,Pop
Festival,3,Sabrina Carpenter,USA,20,16,Pop
Festival,4,Coldplay,GBR,28,1,Rock
Festival,5,Stray Kids,KOR,31,21,Pop
Festival,6,Lana Del Rey,USA,33,22,Pop
Festival,7,Linkin Park,USA,35,3,Rock
Festival,8,Olivia Rodrigo,USA,39,25,Pop
