Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Coachella,2026,April,4,Apr 10-19 2026,Justin Bieber,CAN,4,3,Pop,2,Mainstream Pop,0
Coachella,2026,April,4,Apr 10-19 2026,Karol G,COL,16,2,Latin,2,Reggaeton,0
Coachella,2026,April,4,Apr 10-19 2026,KATSEYE,USA,18,14,Pop,13,Mainstream Pop,6
Coachella,2026,April,4,Apr 10-19 2026,Sabrina Carpenter,USA,21,17,Pop,15,Mainstream Pop,9
Coachella,2026,April,4,Apr 10-19 2026,David Guetta,FRA,41,1,Electronic,1,Dance,10
Coachella,2026,April,4,Apr 10-19 2026,Laufey,USA,123,1,Jazz,1,Smooth Jazz,1
Coachella,2026,April,4,Apr 10-19 2026,Sean Paul,JAM,135,1,Reggae,1,Dancehall,13
Coachella,2026,April,4,Apr 10-19 2026,Madonna,USA,137,69,Pop,55,Mainstream Pop,0
Coachella,2026,April,4,Apr 10-19 2026,sombr,USA,156,78,Pop,9,Indie Pop,5
Coachella,2026,April,4,Apr 10-19 2026,Central Cee,GBR,158,23,Hip Hop,11,Alternative Hip Hop,6
Coachella,2025,April,4,Apr 11-20 2025,Ed Sheeran,GBR,13,10,Pop,10,Mainstream Pop,3
Coachella,2025,April,4,Apr 11-20 2025,Lady Gaga,USA,17,13,Pop,12,Mainstream Pop,0
Coachella,2025,April,4,Apr 11-20 2025,JENNIE (제니),KOR,37,24,Pop,5,k-pop,1
Coachella,2025,April,4,Apr 11-20 2025,Travis Scott,USA,46,4,Hip Hop,5,Contemporary Hip Hop,3
Coachella,2025,April,4,Apr 11-20 2025,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Coachella,2025,April,4,Apr 11-20 2025,ENHYPEN,KOR,64,36,Pop,7,k-pop,0
Coachella,2025,April,4,Apr 11-20 2025,Junior H,MEX,109,22,Latin,4,Regional Mexican Music,1
Coachella,2025,April,4,Apr 11-20 2025,Laufey,USA,123,1,Jazz,1,Smooth Jazz,2
Coachella,2025,April,4,Apr 11-20 2025,Megan Thee Stallion,USA,142,21,Hip Hop,9,Alternative Hip Hop,1
Coachella,2025,April,4,Apr 11-20 2025,LISA (리사),KOR,144,72,Pop,13,k-pop,0
Coachella,2024,April,4,Apr 12-21 2024,Sabrina Carpenter,USA,21,17,Pop,15,Mainstream Pop,10
Coachella,2024,April,4,Apr 12-21 2024,J Balvin,COL,25,4,Latin,4,Reggaeton,10
Coachella,2024,April,4,Apr 12-21 2024,Peso Pluma,MEX,29,6,Latin,1,Regional Mexican Music,5
Coachella,2024,April,4,Apr 12-21 2024,Lana Del Rey,USA,31,21,Pop,20,Mainstream Pop,1
Coachella,2024,April,4,Apr 12-21 2024,Olivia Dean,GBR,59,34,Pop,33,Mainstream Pop,5
Coachella,2024,April,4,Apr 12-21 2024,Doja Cat,USA,61,35,Pop,35,Mainstream Pop,3
Coachella,2024,April,4,Apr 12-21 2024,DJ Snake,FRA,138,6,Electronic,6,Dance,27
Coachella,2024,April,4,Apr 12-21 2024,Raye,GBR,147,74,Pop,59,Mainstream Pop,16
Coachella,2024,April,4,Apr 12-21 2024,Carin Leon,MEX,149,27,Latin,6,Regional Mexican Music,2
Coachella,2024,April,4,Apr 12-21 2024,Lil Uzi Vert,USA,169,26,Hip Hop,15,Trap,0
Coachella,2023,April,4,Apr 14-23 2023,Bad Bunny,PRI,1,1,Latin,1,Reggaeton,0
Coachella,2023,April,4,Apr 14-23 2023,BLACKPINK (블랙핑크),KOR,19,15,Pop,3,k-pop,1
Coachella,2023,April,4,Apr 14-23 2023,Calvin Harris,GBR,77,4,Electronic,4,Dance,4
Coachella,2023,April,4,Apr 14-23 2023,Diljit Dosanjh,IND,113,55,Pop,6,Indian Pop,0
Coachella,2023,April,4,Apr 14-23 2023,Gorillaz,GBR,114,9,Rock,5,Alternative Rock,1
Coachella,2023,April,4,Apr 14-23 2023,Becky G,USA,122,25,Latin,16,Reggaeton,1
Coachella,2023,April,4,Apr 14-23 2023,ROSALÍA,ESP,159,80,Pop,13,Latin Pop,0
Coachella,2023,April,4,Apr 14-23 2023,Burna Boy,NGA,207,1,African,1,Afrobeat,4
Coachella,2023,April,4,Apr 14-23 2023,Charli XCX,GBR,235,108,Pop,74,Mainstream Pop,14
Coachella,2023,April,4,Apr 14-23 2023,Metro Boomin,USA,242,39,Hip Hop,24,Trap,2
Coachella,2022,April,4,Apr 15-24 2022,The Weeknd,CAN,7,5,Pop,5,Mainstream Pop,1
Coachella,2022,April,4,Apr 15-24 2022,Billie Eilish,USA,8,6,Pop,6,Mainstream Pop,0
Coachella,2022,April,4,Apr 15-24 2022,Karol G,COL,16,2,Latin,2,Reggaeton,1
Coachella,2022,April,4,Apr 15-24 2022,Harry Styles,GBR,52,31,Pop,29,Mainstream Pop,0
Coachella,2022,April,4,Apr 15-24 2022,Doja Cat,USA,61,35,Pop,35,Mainstream Pop,3
Coachella,2022,April,4,Apr 15-24 2022,Lil Baby,USA,107,18,Hip Hop,8,Trap,3
Coachella,2022,April,4,Apr 15-24 2022,Grupo Firme,MEX,115,23,Latin,5,Regional Mexican Music,0
Coachella,2022,April,4,Apr 15-24 2022,Anitta,BRA,140,70,Pop,10,Latin Pop,3
Coachella,2022,April,4,Apr 15-24 2022,Megan Thee Stallion,USA,142,21,Hip Hop,9,Alternative Hip Hop,1
Coachella,2022,April,4,Apr 15-24 2022,21 Savage,USA,146,22,Hip Hop,12,Trap,1
Coachella,2019,April,4,Apr 12-21 2019,Bad Bunny,PRI,1,1,Latin,1,Reggaeton,0
Coachella,2019,April,4,Apr 12-21 2019,Billie Eilish,USA,8,6,Pop,6,Mainstream Pop,0
Coachella,2019,April,4,Apr 12-21 2019,Ariana Grande,USA,9,7,Pop,7,Mainstream Pop,0
Coachella,2019,April,4,Apr 12-21 2019,BLACKPINK (블랙핑크),KOR,19,15,Pop,3,k-pop,1
Coachella,2019,April,4,Apr 12-21 2019,J Balvin,COL,25,4,Latin,4,Reggaeton,10
Coachella,2019,April,4,Apr 12-21 2019,Wiz Khalifa,USA,83,15,Hip Hop,16,Contemporary Hip Hop,2
Coachella,2019,April,4,Apr 12-21 2019,Juice WRLD,USA,101,17,Hip Hop,7,Trap,0
Coachella,2019,April,4,Apr 12-21 2019,DJ Snake,FRA,138,6,Electronic,6,Dance,27
Coachella,2019,April,4,Apr 12-21 2019,Tame Impala,AUS,150,13,Rock,1,Psychedelic Rock,1
Coachella,2019,April,4,Apr 12-21 2019,ROSALÍA,ESP,159,80,Pop,13,Latin Pop,0
Coachella,2018,April,4,Apr 13-22 2018,The Weeknd,CAN,7,5,Pop,5,Mainstream Pop,1
Coachella,2018,April,4,Apr 13-22 2018,Eminem,USA,11,2,Hip Hop,2,Contemporary Hip Hop,0
Coachella,2018,April,4,Apr 13-22 2018,Beyonce,USA,27,20,Pop,18,Mainstream Pop,0
Coachella,2018,April,4,Apr 13-22 2018,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Coachella,2018,April,4,Apr 13-22 2018,Cardi B,USA,60,9,Hip Hop,9,Contemporary Hip Hop,1
Coachella,2018,April,4,Apr 13-22 2018,SZA,USA,71,1,R&B,9,Contemporary R&B,0
Coachella,2018,April,4,Apr 13-22 2018,Alan Walker,NOR,72,3,Electronic,3,Dance,15
Coachella,2018,April,4,Apr 13-22 2018,Daniel Caesar,CAN,194,6,R&B,2,Soul,2
Coachella,2018,April,4,Apr 13-22 2018,Tyler the Creator,USA,198,30,Hip Hop,28,Contemporary Hip Hop,13
Coachella,2018,April,4,Apr 13-22 2018,The Neighbourhood,USA,240,19,Rock,2,Indie Rock,0
