Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Coachella,2025,April,4,Mainstream Pop,Pop,373.49
Coachella,2025,April,4,Indie Pop,Pop,235.57
Coachella,2025,April,4,k-pop,Pop,98.61
Coachella,2025,April,4,Alternative Hip Hop,Hip Hop,124.78
Coachella,2025,April,4,Contemporary Hip Hop,Hip Hop,104.65
Coachella,2025,April,4,Trap,Hip Hop,102.30
Coachella,2025,April,4,Dance,Electronic,80.44
Coachella,2025,April,4,Contemporary R&B,R&B,83.52
Coachella,2025,April,4,Alternative Rock,Rock,43.59
Coachella,2025,April,4,Afrobeat,African,30.56
Coachella,2024,April,4,Mainstream Pop,Pop,203.38
Coachella,2024,April,4,Indie Pop,Pop,95.61
Coachella,2024,April,4,Latin Pop,Pop,57.86
Coachella,2024,April,4,Contemporary Hip Hop,Hip Hop,65.47
Coachella,2024,April,4,Trap,Hip Hop,59.57
Coachella,2024,April,4,Alternative Hip Hop,Hip Hop,42.35
Coachella,2024,April,4,Dance,Electronic,51.85
Coachella,2024,April,4,Reggaeton,Latin,78.23
Coachella,2024,April,4,Regional Mexican Music,Latin,40.76
Coachella,2024,April,4,Contemporary R&B,R&B,58.09
Coachella,2023,April,4,Mainstream Pop,Pop,92.99
Coachella,2023,April,4,Indie Pop,Pop,45.75
Coachella,2023,April,4,k-pop,Pop,57.86
Coachella,2023,April,4,Alternative Hip Hop,Hip Hop,91.87
Coachella,2023,April,4,Trap,Hip Hop,64.32
Coachella,2023,April,4,Contemporary Hip Hop,Hip Hop,61.04
Coachella,2023,April,4,Dance,Electronic,75.79
Coachella,2023,April,4,Reggaeton,Latin,120.38
Coachella,2023,April,4,Neo Soul,R&B,32.43
Coachella,2023,April,4,Alternative Rock,Rock,33.56
Coachella,2022,April,4,Mainstream Pop,Pop,290.12
Coachella,2022,April,4,Indie Pop,Pop,195.14
Coachella,2022,April,4,Latin Pop,Pop,83.10
Coachella,2022,April,4,Alternative Hip Hop,Hip Hop,76.93
Coachella,2022,April,4,Trap,Hip Hop,68.13
Coachella,2022,April,4,Contemporary Hip Hop,Hip Hop,69.46
Coachella,2022,April,4,House,Electronic,51.08
Coachella,2022,April,4,Reggaeton,Latin,48.03
Coachella,2022,April,4,Regional Mexican Music,Latin,50.58
Coachella,2022,April,4,Contemporary R&B,R&B,161.92
Coachella,2019,April,4,Mainstream Pop,Pop,279.97
Coachella,2019,April,4,Indie Pop,Pop,160.72
Coachella,2019,April,4,Latin Pop,Pop,78.46
Coachella,2019,April,4,k-pop,Pop,48.03
Coachella,2019,April,4,Alternative Hip Hop,Hip Hop,46.40
Coachella,2019,April,4,Trap,Hip Hop,48.16
Coachella,2019,April,4,Contemporary Hip Hop,Hip Hop,55.52
Coachella,2019,April,4,Dance,Electronic,64.21
Coachella,2019,April,4,Reggaeton,Latin,148.06
Coachella,2019,April,4,Contemporary R&B,R&B,138.34
Coachella,2018,April,4,Mainstream Pop,Pop,258.16
Coachella,2018,April,4,Indie Pop,Pop,80.40
Coachella,2018,April,4,Alternative Hip Hop,Hip Hop,63.20
Coachella,2018,April,4,Contemporary Hip Hop,Hip Hop,114.26
Coachella,2018,April,4,Dance,Electronic,48.80
Coachella,2018,April,4,Electro House,Electronic,20.38
Coachella,2018,April,4,Contemporary R&B,R&B,273.92
Coachella,2018,April,4,Neo Soul,R&B,72.74
Coachella,2018,April,4,Alternative Rock,Rock,23.95
Coachella,2018,April,4,Indie Rock,Rock,37.09
