Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Coca-Cola Flow Fest CDMX,November,11,1,MEX,272.0
Coca-Cola Flow Fest CDMX,November,11,2,ARG,270.4
Coca-Cola Flow Fest CDMX,November,11,3,COL,211.6
Coca-Cola Flow Fest CDMX,November,11,4,USA,209.1
Coca-Cola Flow Fest CDMX,November,11,5,CHL,127.2
Coca-Cola Flow Fest CDMX,November,11,6,ESP,115.0
Coca-Cola Flow Fest CDMX,November,11,7,VEN,100.7
Coca-Cola Flow Fest CDMX,November,11,8,PER,95.2
Coca-Cola Flow Fest CDMX,November,11,9,DOM,85.6
Coca-Cola Flow Fest CDMX,November,11,10,ECU,78.3
