Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Viberate_Rank_Overall,Viberate_Rank_Latin,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",J Balvin,COL,25,4,4,Latin,Reggaeton,9 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Myke Towers,PRI,69,13,9,Latin,Reggaeton,6 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Nicky Jam,USA,75,15,11,Latin,Reggaeton,4 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Don Omar,PRI,87,19,14,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Omar Courtz,PRI,135,26,17,Latin,Reggaeton,9 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Natanael cano,MEX,216,46,12,Latin,Regional Mexican Music,0 Festival,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Maria Becerra,ARG,220,102,24,Pop,Latin Pop,4 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Wisin,PRI,224,47,27,Latin,Reggaeton,4 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Cris MJ,CHL,255,50,30,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2025,November,11,"Nov 22-23",Sech,PAN,279,58,32,Latin,Reggaeton,5 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Anuel AA,PRI,29,6,5,Latin,Reggaeton,1 Festival,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Rauw Alejandro,PRI,49,11,8,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Arcángel,USA,71,14,10,Latin,Reggaeton,4 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Blessd,COL,114,23,15,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Becky G,USA,128,25,16,Latin,Reggaeton,1 Festival,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Sebastian Yatra,COL,157,77,12,Pop,Latin Pop,2 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Milo j,ARG,164,24,24,Hip Hop,Contemporary Hip Hop,2 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Paulo Londra,ARG,198,41,2,Latin,Latin Trap,2 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Ñengo Flow,PRI,210,44,26,Latin,Reggaeton,3 Festivals,
Coca-Cola Flow Fest CDMX,2024,November,11,"Nov 23-24",Bryant Myers,PRI,253,49,29,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Ozuna,PRI,36,8,6,Latin,Reggaeton,7 Festivals,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Maluma,COL,39,9,7,Latin,Reggaeton,1 Festival,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Feid,COL,85,17,13,Latin,Reggaeton,5 Festivals,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Omar Courtz,PRI,135,26,17,Latin,Reggaeton,10 Festivals,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Manuel Turizo,COL,162,32,21,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Wisin & Yandel,PRI,175,34,23,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Ryan Castro,COL,201,42,24,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Cris MJ,CHL,255,50,30,Latin,Reggaeton,3 Festivals,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Zion & Lennox,PRI,378,74,40,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2023,November,11,"Nov 25-26",Danny Ocean,VEN,389,165,45,Pop,Latin Pop,5 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",J Balvin,COL,25,4,4,Latin,Reggaeton,10 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Anuel AA,PRI,29,6,5,Latin,Reggaeton,1 Festival,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Myke Towers,PRI,69,13,9,Latin,Reggaeton,7 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Arcángel,USA,71,14,10,Latin,Reggaeton,4 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Nicky Jam,USA,75,15,11,Latin,Reggaeton,5 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Feid,COL,85,17,13,Latin,Reggaeton,5 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Don Omar,PRI,87,19,14,Latin,Reggaeton,3 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Beéle,COL,168,33,22,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Ryan Castro,COL,201,42,24,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2022,November,11,"Nov 26-27",Ñengo Flow,PRI,210,44,26,Latin,Reggaeton,3 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Ozuna,PRI,36,8,6,Latin,Reggaeton,7 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Rauw Alejandro,PRI,49,11,8,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Myke Towers,PRI,69,13,9,Latin,Reggaeton,7 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Farruko,PRI,81,16,12,Latin,Reggaeton,2 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Junior H,MEX,108,22,4,Latin,Regional Mexican Music,1 Festival,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Wisin & Yandel,PRI,175,34,23,Latin,Reggaeton,0 Festival,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Bizarrap,ARG,235,36,23,Hip Hop,Trap,2 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Jhayco,PRI,319,65,36,Latin,Reggaeton,7 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",El Alfa,DOM,321,66,37,Latin,Reggaeton,6 Festivals,
Coca-Cola Flow Fest CDMX,2021,November,11,"Nov 27",Mora,PRI,448,185,49,Pop,Latin Pop,1 Festival,
Coca-Cola Flow Fest CDMX,2019,November,11,"Nov 23",J Balvin,COL,25,4,4,Latin,Reggaeton,10 Festivals,
