Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Coca-Cola Flow Fest CDMX,November,11,1,MEX,1.9,447.6
Coca-Cola Flow Fest CDMX,November,11,2,ARG,1.4,82.6
Coca-Cola Flow Fest CDMX,November,11,3,COL,1.1,138.1
Coca-Cola Flow Fest CDMX,November,11,4,USA,1.1,57.0
Coca-Cola Flow Fest CDMX,November,11,5,ESP,0.6249,124.4
Coca-Cola Flow Fest CDMX,November,11,6,PER,0.6172,54.4
Coca-Cola Flow Fest CDMX,November,11,7,CHL,0.6045,92.3
Coca-Cola Flow Fest CDMX,November,11,8,VEN,0.3965,3.1
Coca-Cola Flow Fest CDMX,November,11,9,ECU,0.3878,31.0
Coca-Cola Flow Fest CDMX,November,11,10,GTM,0.2503,30.8
