Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_M,Spotify_Listeners_Monthly_M
Download Festival,June,6,1,USA,643.2,120.8
Download Festival,June,6,2,BRA,123.5,16.3
Download Festival,June,6,3,MEX,100.7,10.6
Download Festival,June,6,4,CAN,68.5,20.6
Download Festival,June,6,5,IDN,67.5,9.2
Download Festival,June,6,6,GBR,62.6,17.2
Download Festival,June,6,7,ARG,51.3,2.4
Download Festival,June,6,8,DEU,49.8,24.7
Download Festival,June,6,9,FRA,37.9,1.2
Download Festival,June,6,10,UKR,36.3,0.1
