Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Download Festival,June,6,2025,Indie Pop,Pop,4.93
Download Festival,June,6,2025,Alternative Rock,Rock,47.40
Download Festival,June,6,2025,Indie Rock,Rock,7.68
Download Festival,June,6,2025,Pop Rock,Rock,14.66
Download Festival,June,6,2025,Progressive Metal,Metal,14.94
Download Festival,June,6,2025,Metalcore/Deathcore,Metal,15.08
Download Festival,June,6,2025,Alternative Metal,Metal,18.21
Download Festival,June,6,2025,Nu Metal,Metal,11.05
Download Festival,June,6,2025,Hardcore Punk,Punk,3.85
Download Festival,June,6,2025,Punk Rock,Punk,23.95
Download Festival,June,6,2024,Alternative Rock,Rock,33.11
Download Festival,June,6,2024,Hard Rock,Rock,11.61
Download Festival,June,6,2024,Pop Rock,Rock,8.58
Download Festival,June,6,2024,Heavy Metal,Metal,9.85
Download Festival,June,6,2024,Metalcore/Deathcore,Metal,12.74
Download Festival,June,6,2024,Alternative Metal,Metal,21.33
Download Festival,June,6,2024,Groove Metal,Metal,6.09
Download Festival,June,6,2024,Nu Metal,Metal,12.30
Download Festival,June,6,2024,Punk Rock,Punk,16.49
Download Festival,June,6,2024,Pop Punk,Punk,17.16
Download Festival,June,6,2023,Alternative Rock,Rock,53.79
Download Festival,June,6,2023,Hard Rock,Rock,27.65
Download Festival,June,6,2023,Pop Rock,Rock,6.96
Download Festival,June,6,2023,Heavy Metal,Metal,51.07
Download Festival,June,6,2023,Thrash Metal,Metal,20.96
Download Festival,June,6,2023,Metalcore/Deathcore,Metal,28.03
Download Festival,June,6,2023,Alternative Metal,Metal,41.47
Download Festival,June,6,2023,Groove Metal,Metal,6.27
Download Festival,June,6,2023,Nu Metal,Metal,20.38
Download Festival,June,6,2023,Pop Punk,Punk,8.92
Download Festival,June,6,2019,Alternative Rock,Rock,25.82
Download Festival,June,6,2019,Hard Rock,Rock,28.82
Download Festival,June,6,2019,Progressive Rock,Rock,4.88
Download Festival,June,6,2019,Heavy Metal,Metal,8.44
Download Festival,June,6,2019,Progressive Metal,Metal,7.38
Download Festival,June,6,2019,Metalcore/Deathcore,Metal,5.17
Download Festival,June,6,2019,Alternative Metal,Metal,29.38
Download Festival,June,6,2019,Industrial Metal,Metal,4.99
Download Festival,June,6,2019,Nu Metal,Metal,23.57
Download Festival,June,6,2019,Glam Metal,Metal,9.37
Download Festival,June,6,2018,Alternative Rock,Rock,41.04
Download Festival,June,6,2018,Indie Rock,Rock,4.98
Download Festival,June,6,2018,Hard Rock,Rock,45.47
Download Festival,June,6,2018,Pop Rock,Rock,4.94
Download Festival,June,6,2018,Heavy Metal,Metal,19.55
Download Festival,June,6,2018,Progressive Metal,Metal,11.49
Download Festival,June,6,2018,Metalcore/Deathcore,Metal,11.19
Download Festival,June,6,2018,Alternative Metal,Metal,11.52
Download Festival,June,6,2018,Punk Rock,Punk,6.31
Download Festival,June,6,2018,Pop Punk,Punk,5.82
