Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Festival Estereo Picnic,March,3,1,USA,557.6
Festival Estereo Picnic,March,3,2,BRA,183.7
Festival Estereo Picnic,March,3,3,MEX,165.0
Festival Estereo Picnic,March,3,4,ARG,115.5
Festival Estereo Picnic,March,3,5,COL,95.1
Festival Estereo Picnic,March,3,6,GBR,74.8
Festival Estereo Picnic,March,3,7,ESP,63.9
Festival Estereo Picnic,March,3,8,IND,57.1
Festival Estereo Picnic,March,3,9,CHL,44.1
Festival Estereo Picnic,March,3,10,CAN,43.0
