Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,KATSEYE,USA,16,13,Pop,12,Mainstream Pop,6
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Sabrina Carpenter,USA,20,16,Pop,14,Mainstream Pop,9
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Peso Pluma,MEX,30,7,Latin,2,Regional Mexican Music,4
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Tyler the Creator,USA,203,29,Hip Hop,27,Contemporary Hip Hop,12
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Skrillex,USA,312,13,Electronic,1,Dubstep,8
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Deftones,USA,431,6,Metal,5,Alternative Metal,20
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Kygo,NOR,451,17,Electronic,18,Dance,14
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Lorde,NZL,458,189,Pop,24,Indie Pop,7
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Djo,USA,475,36,Rock,3,Psychedelic Rock,9
Festival Estereo Picnic,2026,March,3,Mar 20-22 2026,Addison Rae,USA,537,217,Pop,129,Mainstream Pop,7
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Olivia Rodrigo,USA,42,25,Pop,24,Mainstream Pop,14
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Shawn Mendes,CAN,74,42,Pop,38,Mainstream Pop,6
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Justin Timberlake,USA,99,52,Pop,46,Mainstream Pop,13
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Tate McRae,CAN,164,79,Pop,60,Mainstream Pop,3
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Teddy Swims,USA,179,87,Pop,65,Mainstream Pop,5
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Mon Laferte,CHL,198,94,Pop,19,Latin Pop,7
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Benson Boone,USA,294,131,Pop,84,Mainstream Pop,11
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Kapo,COL,374,72,Latin,39,Reggaeton,9
Festival Estereo Picnic,2025,March,3,Mar 27-30 2025,Danny Ocean,VEN,383,167,Pop,45,Latin Pop,5
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,Feid,COL,86,17,Latin,13,Reggaeton,5
Festival Estereo Picnic,2024,March,3,Mar 21-24 2024,SZA,USA,88,1,R&B,9,Contemporary R&B,0
