Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Festival Estereo Picnic,March,3,1,USA,1.3,237.8
Festival Estereo Picnic,March,3,2,MEX,0.7626,177.0
Festival Estereo Picnic,March,3,3,ARG,0.3656,27.5
Festival Estereo Picnic,March,3,4,COL,0.3507,61.1
Festival Estereo Picnic,March,3,5,BRA,0.2708,30.6
Festival Estereo Picnic,March,3,6,PER,0.2079,22.8
Festival Estereo Picnic,March,3,7,ESP,0.1588,48.6
Festival Estereo Picnic,March,3,8,IND,0.146,9.1
Festival Estereo Picnic,March,3,9,GBR,0.1443,48.9
Festival Estereo Picnic,March,3,10,CHL,0.1359,38.5
