Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Festival Estereo Picnic,2025,March,3,Mainstream Pop,Pop,252.70
Festival Estereo Picnic,2025,March,3,Indie Pop,Pop,106.45
Festival Estereo Picnic,2025,March,3,Latin Pop,Pop,33.62
Festival Estereo Picnic,2025,March,3,Contemporary R&B,R&B,48.48
Festival Estereo Picnic,2025,March,3,Pop Rock,Rock,52.92
Festival Estereo Picnic,2025,March,3,Indie Rock,Rock,16.21
Festival Estereo Picnic,2025,March,3,Dance,Electronic,28.53
Festival Estereo Picnic,2025,March,3,Reggaeton,Latin,19.93
Festival Estereo Picnic,2025,March,3,Latin alternative,Latin,20.51
Festival Estereo Picnic,2025,March,3,Trap,Hip Hop,14.76
Festival Estereo Picnic,2024,March,3,Reggaeton,Latin,59.97
Festival Estereo Picnic,2024,March,3,Latin Pop,Pop,58.09
Festival Estereo Picnic,2024,March,3,Contemporary R&B,R&B,55.26
Festival Estereo Picnic,2024,March,3,Neo Soul,R&B,48.03
Festival Estereo Picnic,2024,March,3,Indie Pop,Pop,35.60
Festival Estereo Picnic,2024,March,3,Mainstream Pop,Pop,30.33
Festival Estereo Picnic,2024,March,3,Soul,R&B,21.70
Festival Estereo Picnic,2024,March,3,Cumbia,Latin,20.38
Festival Estereo Picnic,2024,March,3,Regional Mexican Music,Latin,20.38
Festival Estereo Picnic,2024,March,3,Alternative Rock,Rock,21.06
Festival Estereo Picnic,2023,March,3,Indie Pop,Pop,187.69
Festival Estereo Picnic,2023,March,3,Mainstream Pop,Pop,177.48
Festival Estereo Picnic,2023,March,3,Latin Pop,Pop,56.92
Festival Estereo Picnic,2023,March,3,Contemporary Hip Hop,Hip Hop,64.18
Festival Estereo Picnic,2023,March,3,Trap,Hip Hop,33.41
Festival Estereo Picnic,2023,March,3,Reggaeton,Latin,34.01
Festival Estereo Picnic,2023,March,3,Dance,Electronic,21.36
Festival Estereo Picnic,2023,March,3,Contemporary R&B,R&B,20.98
Festival Estereo Picnic,2023,March,3,Neo Soul,R&B,20.39
Festival Estereo Picnic,2023,March,3,Alternative Rock,Rock,27.75
Festival Estereo Picnic,2022,March,3,Mainstream Pop,Pop,55.44
Festival Estereo Picnic,2022,March,3,Latin Pop,Pop,53.25
Festival Estereo Picnic,2022,March,3,Contemporary Hip Hop,Hip Hop,50.97
Festival Estereo Picnic,2022,March,3,Reggaeton,Latin,48.03
Festival Estereo Picnic,2022,March,3,Dance,Electronic,20.38
Festival Estereo Picnic,2022,March,3,Other Electronic Music,Electronic,6.06
Festival Estereo Picnic,2022,March,3,Trap,Hip Hop,12.30
Festival Estereo Picnic,2022,March,3,Alternative Hip Hop,Hip Hop,9.83
Festival Estereo Picnic,2022,March,3,Indie Rock,Rock,18.07
Festival Estereo Picnic,2022,March,3,Indie Pop,Pop,10.27
Festival Estereo Picnic,2019,April,4,Indie Pop,Pop,57.04
Festival Estereo Picnic,2019,April,4,Contemporary Hip Hop,Hip Hop,50.85
Festival Estereo Picnic,2019,April,4,Dance,Electronic,38.41
Festival Estereo Picnic,2019,April,4,Indie Rock,Rock,33.28
Festival Estereo Picnic,2019,April,4,Alternative Rock,Rock,29.07
Festival Estereo Picnic,2019,April,4,Trance,Electronic,20.38
Festival Estereo Picnic,2019,April,4,Mainstream Pop,Pop,20.38
Festival Estereo Picnic,2019,April,4,House,Electronic,10.39
Festival Estereo Picnic,2019,April,4,Salsa,Latin,4.86
Festival Estereo Picnic,2019,April,4,Latin Pop,Pop,3.14
Festival Estereo Picnic,2018,March,3,Mainstream Pop,Pop,78.14
Festival Estereo Picnic,2018,March,3,Indie Pop,Pop,60.37
Festival Estereo Picnic,2018,March,3,Alternative Rock,Rock,52.07
Festival Estereo Picnic,2018,March,3,Contemporary R&B,R&B,40.76
Festival Estereo Picnic,2018,March,3,Dance,Electronic,36.06
Festival Estereo Picnic,2018,March,3,Indie Rock,Rock,27.23
Festival Estereo Picnic,2018,March,3,Neo Soul,R&B,20.38
Festival Estereo Picnic,2018,March,3,Contemporary Hip Hop,Hip Hop,22.86
Festival Estereo Picnic,2018,March,3,Alternative Hip Hop,Hip Hop,20.40
Festival Estereo Picnic,2018,March,3,Pop Rock,Rock,10.06
