Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Fuji Rock Festival,July,7,1,USA,0.5509,144.2
Fuji Rock Festival,July,7,2,JPN,0.2759,26.2
Fuji Rock Festival,July,7,3,IND,0.1776,6.9
Fuji Rock Festival,July,7,4,BRA,0.1383,21.5
Fuji Rock Festival,July,7,5,MEX,0.1273,18.8
Fuji Rock Festival,July,7,6,IDN,0.0958,27.5
Fuji Rock Festival,July,7,7,GBR,0.0944,35.2
Fuji Rock Festival,July,7,8,PHL,0.0894,15.3
Fuji Rock Festival,July,7,9,KOR,0.0710,0.1293
Fuji Rock Festival,July,7,10,CAN,0.0608,24.0
