Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Fuji Rock Festival,July,7,2025,Indie Pop,Pop,13.91
Fuji Rock Festival,July,7,2025,Mainstream Pop,Pop,6.44
Fuji Rock Festival,July,7,2025,j-pop,Pop,6.62
Fuji Rock Festival,July,7,2025,Contemporary Hip Hop,Hip Hop,10.43
Fuji Rock Festival,July,7,2025,Dance,Electronic,5.01
Fuji Rock Festival,July,7,2025,House,Electronic,5.59
Fuji Rock Festival,July,7,2025,Other Electronic Music,Electronic,5.00
Fuji Rock Festival,July,7,2025,Indie Rock,Rock,12.18
Fuji Rock Festival,July,7,2025,Pop Rock,Rock,6.41
Fuji Rock Festival,July,7,2025,Anime,Asian,9.72
Fuji Rock Festival,July,7,2023,Indie Pop,Pop,28.84
Fuji Rock Festival,July,7,2023,Mainstream Pop,Pop,36.46
Fuji Rock Festival,July,7,2023,j-pop,Pop,8.59
Fuji Rock Festival,July,7,2023,Contemporary R&B,R&B,12.41
Fuji Rock Festival,July,7,2023,Soul,R&B,10.08
Fuji Rock Festival,July,7,2023,Alternative Rock,Rock,23.60
Fuji Rock Festival,July,7,2023,Indie Rock,Rock,9.15
Fuji Rock Festival,July,7,2023,Hard Rock,Rock,9.82
Fuji Rock Festival,July,7,2023,Pop Rock,Rock,18.12
Fuji Rock Festival,July,7,2023,Garage Rock,Rock,4.86
Fuji Rock Festival,July,7,2022,Indie Pop,Pop,3.77
Fuji Rock Festival,July,7,2022,Mainstream Pop,Pop,25.24
Fuji Rock Festival,July,7,2022,Dance,Electronic,5.57
Fuji Rock Festival,July,7,2022,Downtempo,Electronic,1.32
Fuji Rock Festival,July,7,2022,Funk,R&B,1.45
Fuji Rock Festival,July,7,2022,Soul,R&B,1.75
Fuji Rock Festival,July,7,2022,Neo Soul,R&B,2.02
Fuji Rock Festival,July,7,2022,Alternative Rock,Rock,2.59
Fuji Rock Festival,July,7,2022,Indie Rock,Rock,5.18
Fuji Rock Festival,July,7,2022,Post Punk,Rock,2.48
Fuji Rock Festival,July,7,2021,Indie Pop,Pop,3.25
Fuji Rock Festival,July,7,2021,j-pop,Pop,13.13
Fuji Rock Festival,July,7,2021,j-rap,Hip Hop,0.92
Fuji Rock Festival,July,7,2021,Alternative Rock,Rock,3.37
Fuji Rock Festival,July,7,2021,Indie Rock,Rock,2.06
Fuji Rock Festival,July,7,2021,Pop Rock,Rock,10.70
Fuji Rock Festival,July,7,2021,Alternative Metal,Metal,0.70
Fuji Rock Festival,July,7,2021,Japanese Folk,Asian,1.35
Fuji Rock Festival,July,7,2021,Other Asian Music,Asian,0.52
Fuji Rock Festival,July,7,2021,Anime,Asian,6.48
Fuji Rock Festival,July,7,2020,Indie Pop,Pop,23.42
Fuji Rock Festival,July,7,2020,Mainstream Pop,Pop,186.18
Fuji Rock Festival,July,7,2020,j-pop,Pop,7.47
Fuji Rock Festival,July,7,2020,Dance,Electronic,35.87
Fuji Rock Festival,July,7,2020,Alternative Rock,Rock,94.98
Fuji Rock Festival,July,7,2020,Indie Rock,Rock,20.20
Fuji Rock Festival,July,7,2020,Funk Rock,Rock,22.86
Fuji Rock Festival,July,7,2020,Hard Rock,Rock,9.82
Fuji Rock Festival,July,7,2020,Pop Rock,Rock,96.38
Fuji Rock Festival,July,7,2020,Moombahton,Reggae,9.82
Fuji Rock Festival,July,7,2019,Indie Pop,Pop,14.71
Fuji Rock Festival,July,7,2019,Mainstream Pop,Pop,87.96
Fuji Rock Festival,July,7,2019,Dance,Electronic,27.72
Fuji Rock Festival,July,7,2019,Other Electronic Music,Electronic,9.07
Fuji Rock Festival,July,7,2019,Contemporary R&B,R&B,11.89
Fuji Rock Festival,July,7,2019,Soul,R&B,9.85
Fuji Rock Festival,July,7,2019,Alternative Rock,Rock,45.39
Fuji Rock Festival,July,7,2019,Folk Rock,Rock,5.61
Fuji Rock Festival,July,7,2019,Funk Rock,Rock,22.94
Fuji Rock Festival,July,7,2019,Pop Rock,Rock,12.47
Fuji Rock Festival,July,7,2018,Indie Pop,Pop,17.14
Fuji Rock Festival,July,7,2018,Mainstream Pop,Pop,69.73
Fuji Rock Festival,July,7,2018,j-pop,Pop,10.19
Fuji Rock Festival,July,7,2018,Alternative Hip Hop,Hip Hop,48.06
Fuji Rock Festival,July,7,2018,Contemporary Hip Hop,Hip Hop,49.46
Fuji Rock Festival,July,7,2018,Dubstep,Electronic,9.83
Fuji Rock Festival,July,7,2018,Contemporary R&B,R&B,22.16
Fuji Rock Festival,July,7,2018,Neo Soul,R&B,20.38
Fuji Rock Festival,July,7,2018,Indie Rock,Rock,21.87
Fuji Rock Festival,July,7,2018,Folk Rock,Rock,11.26
