Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Olivia Rodrigo,USA,40,25,Pop,22,Mainstream Pop,13
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Olivia Dean,GBR,65,37,Pop,35,Mainstream Pop,4
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Raye,GBR,147,73,Pop,58,Mainstream Pop,15
Glastonbury Festival,2025,June,6,Jun 25-29 2025,PinkPantheress,GBR,177,86,Pop,10,Indie Pop,8
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Noah Kahan,USA,229,106,Pop,73,Mainstream Pop,12
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Charli XCX,GBR,243,112,Pop,76,Mainstream Pop,13
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Lewis Capaldi,GBR,324,143,Pop,90,Mainstream Pop,5
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Gracie Abrams,USA,353,154,Pop,19,Indie Pop,11
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Djo,USA,419,30,Rock,3,Psychedelic Rock,9
Glastonbury Festival,2025,June,6,Jun 25-29 2025,Deftones,USA,444,7,Metal,5,Alternative Metal,20
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Coldplay,GBR,28,1,Rock,1,Pop Rock,0
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Dua Lipa,GBR,43,26,Pop,25,Mainstream Pop,2
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Camila Cabello,USA,50,30,Pop,28,Mainstream Pop,7
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Olivia Dean,GBR,65,37,Pop,35,Mainstream Pop,5
Glastonbury Festival,2024,June,6,Jun 26-30 2024,SZA,USA,87,1,R&B,9,Contemporary R&B,0
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Burna Boy,NGA,215,1,African,1,Afrobeat,4
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Avril Lavigne,CAN,234,2,Punk,1,Pop Punk,7
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Tems,NGA,329,10,R&B,24,Contemporary R&B,6
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Anne-Marie,GBR,345,153,Pop,98,Mainstream Pop,0
Glastonbury Festival,2024,June,6,Jun 26-30 2024,Ayra Starr,NGA,397,4,African,5,Afrobeat,4
Glastonbury Festival,2023,June,6,Jun 21-25 2023,Lana Del Rey,USA,33,22,Pop,20,Mainstream Pop,1
