Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Glastonbury Festival,2025,June,6,Mainstream Pop,Pop,145.86
Glastonbury Festival,2025,June,6,Indie Pop,Pop,116.61
Glastonbury Festival,2025,June,6,Pop Rock,Rock,84.01
Glastonbury Festival,2025,June,6,Contemporary Hip Hop,Hip Hop,53.20
Glastonbury Festival,2025,June,6,Indie Rock,Rock,42.92
Glastonbury Festival,2025,June,6,Dance,Electronic,39.15
Glastonbury Festival,2025,June,6,Contemporary R&B,R&B,36.34
Glastonbury Festival,2025,June,6,House,Electronic,36.19
Glastonbury Festival,2025,June,6,Alternative Rock,Rock,34.65
Glastonbury Festival,2025,June,6,Alternative R&B,R&B,22.88
Glastonbury Festival,2024,June,6,Mainstream Pop,Pop,185.60
Glastonbury Festival,2024,June,6,Indie Pop,Pop,44.99
Glastonbury Festival,2024,June,6,Contemporary R&B,R&B,60.92
Glastonbury Festival,2024,June,6,Neo Soul,R&B,55.96
Glastonbury Festival,2024,June,6,Pop Rock,Rock,53.78
Glastonbury Festival,2024,June,6,House,Electronic,47.96
Glastonbury Festival,2024,June,6,Dance,Electronic,40.36
Glastonbury Festival,2024,June,6,Afrobeat,African,31.11
Glastonbury Festival,2024,June,6,Soul,R&B,23.37
Glastonbury Festival,2024,June,6,Dancehall,Reggae,20.39
Glastonbury Festival,2023,June,6,Mainstream Pop,Pop,147.31
Glastonbury Festival,2023,June,6,Indie Pop,Pop,87.30
Glastonbury Festival,2023,June,6,Hard Rock,Rock,40.98
Glastonbury Festival,2023,June,6,Alternative Rock,Rock,38.64
Glastonbury Festival,2023,June,6,Indie Rock,Rock,36.66
Glastonbury Festival,2023,June,6,Alternative Hip Hop,Hip Hop,47.61
Glastonbury Festival,2023,June,6,Dance,Electronic,34.60
Glastonbury Festival,2023,June,6,Drill,Hip Hop,26.65
Glastonbury Festival,2023,June,6,House,Electronic,21.15
Glastonbury Festival,2023,June,6,Drum & Bass,Electronic,16.11
Glastonbury Festival,2022,June,6,Mainstream Pop,Pop,274.43
Glastonbury Festival,2022,June,6,Indie Pop,Pop,192.05
Glastonbury Festival,2022,June,6,Contemporary Hip Hop,Hip Hop,70.38
Glastonbury Festival,2022,June,6,Dance,Electronic,66.16
Glastonbury Festival,2022,June,6,Indie Rock,Rock,59.10
Glastonbury Festival,2022,June,6,Pop Rock,Rock,58.24
Glastonbury Festival,2022,June,6,Contemporary R&B,R&B,36.46
Glastonbury Festival,2022,June,6,Alternative Rock,Rock,33.20
Glastonbury Festival,2022,June,6,Alternative Hip Hop,Hip Hop,30.12
Glastonbury Festival,2022,June,6,Dancehall,Reggae,22.86
Glastonbury Festival,2019,June,6,Mainstream Pop,Pop,275.55
Glastonbury Festival,2019,June,6,Indie Pop,Pop,214.13
Glastonbury Festival,2019,June,6,Alternative Rock,Rock,44.44
Glastonbury Festival,2019,June,6,Indie Rock,Rock,38.37
Glastonbury Festival,2019,June,6,Dancehall,Reggae,25.38
Glastonbury Festival,2019,June,6,Soul,R&B,25.69
Glastonbury Festival,2019,June,6,Pop Rock,Rock,24.44
Glastonbury Festival,2019,June,6,Contemporary R&B,R&B,21.10
Glastonbury Festival,2019,June,6,Alternative Hip Hop,Hip Hop,21.87
Glastonbury Festival,2019,June,6,House,Electronic,18.89
