Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
The Governors Ball,2026,June,6,"Jun 5-7",KATSEYE,USA,15,12,12,Pop,Mainstream Pop,7 Festivals
The Governors Ball,2026,June,6,"Jun 5-7",Stray Kids (스트레이 키즈),KOR,31,21,4,Pop,k-pop,0 Festival
The Governors Ball,2026,June,6,"Jun 5-7",JENNIE (제니),KOR,44,27,6,Pop,k-pop,1 Festival
The Governors Ball,2026,June,6,"Jun 5-7",A$AP Rocky,USA,177,27,26,Hip Hop,Contemporary Hip Hop,8 Festivals
The Governors Ball,2026,June,6,"Jun 5-7",Kali Uchis,COL,286,8,22,R&B,Contemporary R&B,1 Festival
The Governors Ball,2026,June,6,"Jun 5-7",Major Lazer,JAM,330,14,15,Electronic,Dance,5 Festivals
The Governors Ball,2026,June,6,"Jun 5-7",Dominic Fike,USA,396,169,22,Pop,Indie Pop,5 Festivals
The Governors Ball,2026,June,6,"Jun 5-7",Lorde,NZL,457,188,24,Pop,Indie Pop,8 Festivals
The Governors Ball,2026,June,6,"Jun 5-7",Baby Keem,USA,906,162,79,Hip Hop,Trap,0 Festival
The Governors Ball,2026,June,6,"Jun 5-7",Pierce The Veil,USA,1043,97,67,Rock,Pop Rock,2 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Olivia Rodrigo,USA,39,25,22,Pop,Mainstream Pop,13 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Feid,COL,85,17,13,Latin,Reggaeton,4 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Tyler the Creator,USA,207,31,29,Hip Hop,Contemporary Hip Hop,12 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Tyla,ZAF,244,111,75,Pop,Mainstream Pop,7 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Benson Boone,USA,298,131,84,Pop,Mainstream Pop,10 Festivals
The Governors Ball,2025,June,6,"Jun 6-8",Hozier,IRL,322,9,3,R&B,Soul,19 Festivals
