Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
The Governors Ball,June,6,2025,Latin Pop,Pop,48.03
The Governors Ball,June,6,2025,Indie Pop,Pop,117.16
The Governors Ball,June,6,2025,Mainstream Pop,Pop,147.59
The Governors Ball,June,6,2025,Contemporary Hip Hop,Hip Hop,36.38
The Governors Ball,June,6,2025,Reggaeton,Latin,57.86
The Governors Ball,June,6,2025,Contemporary R&B,R&B,47.92
The Governors Ball,June,6,2025,Soul,R&B,20.38
The Governors Ball,June,6,2025,Indie Rock,Rock,29.41
The Governors Ball,June,6,2025,Pop Rock,Rock,48.03
The Governors Ball,June,6,2025,Afrobeat,African,20.38
The Governors Ball,June,6,2024,Indie Pop,Pop,53.82
The Governors Ball,June,6,2024,Mainstream Pop,Pop,132.41
The Governors Ball,June,6,2024,Alternative Hip Hop,Hip Hop,54.25
The Governors Ball,June,6,2024,Trap,Hip Hop,51.99
The Governors Ball,June,6,2024,Contemporary Hip Hop,Hip Hop,68.84
The Governors Ball,June,6,2024,Reggaeton,Latin,68.41
The Governors Ball,June,6,2024,Contemporary R&B,R&B,108.77
The Governors Ball,June,6,2024,Neo Soul,R&B,48.26
The Governors Ball,June,6,2024,Alternative Rock,Rock,31.11
The Governors Ball,June,6,2024,Afrobeat,African,20.38
The Governors Ball,June,6,2023,Indie Pop,Pop,44.42
The Governors Ball,June,6,2023,Mainstream Pop,Pop,29.61
The Governors Ball,June,6,2023,k-pop,Pop,20.38
The Governors Ball,June,6,2023,Alternative Hip Hop,Hip Hop,54.38
The Governors Ball,June,6,2023,Trap,Hip Hop,63.13
The Governors Ball,June,6,2023,Contemporary Hip Hop,Hip Hop,74.29
The Governors Ball,June,6,2023,Drill,Hip Hop,25.24
The Governors Ball,June,6,2023,Dance,Electronic,13.78
The Governors Ball,June,6,2023,Contemporary R&B,R&B,21.72
The Governors Ball,June,6,2023,Pop Rock,Rock,20.38
The Governors Ball,June,6,2022,Latin Pop,Pop,20.38
The Governors Ball,June,6,2022,Indie Pop,Pop,41.20
The Governors Ball,June,6,2022,Mainstream Pop,Pop,38.90
The Governors Ball,June,6,2022,Alternative Hip Hop,Hip Hop,66.51
The Governors Ball,June,6,2022,Trap,Hip Hop,38.25
The Governors Ball,June,6,2022,Contemporary Hip Hop,Hip Hop,50.35
The Governors Ball,June,6,2022,Underground Hip Hop,Hip Hop,9.82
The Governors Ball,June,6,2022,Reggaeton,Latin,20.38
The Governors Ball,June,6,2022,Soul,R&B,6.18
The Governors Ball,June,6,2022,Indie Rock,Rock,27.73
The Governors Ball,June,6,2021,Latin Pop,Pop,48.03
The Governors Ball,June,6,2021,Indie Pop,Pop,145.41
The Governors Ball,June,6,2021,Mainstream Pop,Pop,239.98
The Governors Ball,June,6,2021,Alternative Hip Hop,Hip Hop,74.81
The Governors Ball,June,6,2021,Trap,Hip Hop,64.32
The Governors Ball,June,6,2021,Contemporary Hip Hop,Hip Hop,71.06
The Governors Ball,June,6,2021,Reggaeton,Latin,48.03
The Governors Ball,June,6,2021,Contemporary R&B,R&B,12.85
The Governors Ball,June,6,2021,Dancehall,Reggae,20.38
The Governors Ball,June,6,2021,Afrobeat,African,20.38
The Governors Ball,June,6,2019,Indie Pop,Pop,40.79
The Governors Ball,June,6,2019,Mainstream Pop,Pop,20.23
The Governors Ball,June,6,2019,Alternative Hip Hop,Hip Hop,27.00
The Governors Ball,June,6,2019,Trap,Hip Hop,45.56
The Governors Ball,June,6,2019,Contemporary Hip Hop,Hip Hop,62.18
The Governors Ball,June,6,2019,Dance,Electronic,12.28
The Governors Ball,June,6,2019,Contemporary R&B,R&B,97.24
The Governors Ball,June,6,2019,Neo Soul,R&B,48.97
The Governors Ball,June,6,2019,Alternative Rock,Rock,15.86
The Governors Ball,June,6,2019,Indie Rock,Rock,20.59
The Governors Ball,June,6,2018,Indie Pop,Pop,118.47
The Governors Ball,June,6,2018,Mainstream Pop,Pop,262.90
The Governors Ball,June,6,2018,Alternative Hip Hop,Hip Hop,64.56
The Governors Ball,June,6,2018,Trap,Hip Hop,63.56
The Governors Ball,June,6,2018,Contemporary Hip Hop,Hip Hop,112.73
The Governors Ball,June,6,2018,Dance,Electronic,15.07
The Governors Ball,June,6,2018,Contemporary R&B,R&B,45.84
The Governors Ball,June,6,2018,Neo Soul,R&B,20.38
The Governors Ball,June,6,2018,Alternative Rock,Rock,9.11
The Governors Ball,June,6,2018,Moombahton,Reggae,9.82
