Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Megadeth,USA,492,7,2,Metal,Thrash Metal,4 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Limp Bizkit,USA,506,9,7,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Bring Me the Horizon,GBR,567,11,1,Metal,Metalcore/Deathcore,10 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Three Days Grace,CAN,593,53,33,Rock,Alternative Rock,7 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Def Leppard,GBR,603,57,21,Rock,Hard Rock,5 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Foreigner,USA,893,81,56,Rock,Pop Rock,3 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Breaking Benjamin,USA,1182,112,31,Rock,Hard Rock,5 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Bad Omens,USA,1376,18,2,Metal,Metalcore/Deathcore,6 Festivals,
Graspop Metal Meeting,2026,June,6,"Jun 18-21",Babymetal,JPN,1475,20,13,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Metallica,USA,94,1,1,Metal,Heavy Metal,2 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Slipknot,USA,295,3,2,Metal,Alternative Metal,14 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Korn,USA,501,8,6,Metal,Alternative Metal,17 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Skillet,USA,592,52,32,Rock,Alternative Rock,10 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Iron Maiden,GBR,710,13,7,Metal,Heavy Metal,2 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Pantera,USA,1010,15,1,Metal,Groove Metal,1 Festival,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Falling In Reverse,USA,1503,21,3,Metal,Metalcore/Deathcore,12 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Nine Inch Nails,USA,1719,155,76,Rock,Alternative Rock,5 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Hardy,USA,1738,38,40,Country,Contemporary Country,12 Festivals,
Graspop Metal Meeting,2025,June,6,"Jun 19-22",Motionless In White,USA,1748,24,4,Metal,Metalcore/Deathcore,18 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Avenged Sevenfold,USA,401,5,2,Metal,Heavy Metal,7 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Scorpions,DEU,435,31,13,Rock,Hard Rock,10 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Megadeth,USA,492,7,2,Metal,Thrash Metal,4 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Limp Bizkit,USA,506,9,7,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Bring Me the Horizon,GBR,567,11,1,Metal,Metalcore/Deathcore,10 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Five Finger Death Punch,USA,1051,16,2,Metal,Groove Metal,5 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Tool,USA,1276,119,4,Rock,Progressive Rock,3 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Babymetal,JPN,1475,20,13,Metal,Alternative Metal,2 Festivals,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Heart,USA,1624,146,103,Rock,Pop Rock,0 Festival,
Graspop Metal Meeting,2024,June,6,"Jun 20-23",Deep Purple,GBR,1646,148,40,Rock,Hard Rock,0 Festival,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Guns N' Roses,USA,104,7,3,Rock,Hard Rock,7 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Slipknot,USA,295,3,2,Metal,Alternative Metal,15 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Three Days Grace,CAN,593,53,33,Rock,Alternative Rock,7 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Def Leppard,GBR,603,57,21,Rock,Hard Rock,5 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Disturbed,USA,616,58,36,Rock,Alternative Rock,1 Festival,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Papa Roach,USA,906,14,9,Metal,Alternative Metal,12 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Pantera,USA,1010,15,1,Metal,Groove Metal,2 Festivals,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Ghost,SWE,1245,117,32,Rock,Hard Rock,0 Festival,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Mötley Crüe,USA,1334,128,34,Rock,Hard Rock,0 Festival,
Graspop Metal Meeting,2023,June,6,"Jun 15-18",Sleep Token,GBR,1470,19,2,Metal,Progressive Metal,5 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Scorpions,DEU,435,31,13,Rock,Hard Rock,10 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Deftones,USA,438,6,5,Metal,Alternative Metal,21 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Megadeth,USA,492,7,2,Metal,Thrash Metal,4 Festivals,
Graspop Metal Meeting,2022,June,6,"Jun 16-19",Korn,USA,501,8,6,Metal,Alternative Metal,18 Festivals,
