Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_M,Spotify_Listeners_Monthly_M
Graspop Metal Meeting,June,6,1,USA,694.4,
Graspop Metal Meeting,June,6,2,BRA,144.4,
Graspop Metal Meeting,June,6,3,MEX,110.2,
Graspop Metal Meeting,June,6,4,CAN,72.8,
Graspop Metal Meeting,June,6,5,DEU,62.4,
Graspop Metal Meeting,June,6,6,GBR,61.0,
Graspop Metal Meeting,June,6,7,IDN,58.6,
Graspop Metal Meeting,June,6,8,ARG,58.3,
Graspop Metal Meeting,June,6,9,FRA,43.8,
Graspop Metal Meeting,June,6,10,UKR,42.1,
