Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Graspop Metal Meeting,June,6,2025,Alternative Rock,Rock,27.00
Graspop Metal Meeting,June,6,2025,Pop Rock,Rock,14.55
Graspop Metal Meeting,June,6,2025,Heavy Metal,Metal,38.28
Graspop Metal Meeting,June,6,2025,Progressive Metal,Metal,6.80
Graspop Metal Meeting,June,6,2025,Thrash Metal,Metal,26.46
Graspop Metal Meeting,June,6,2025,Metalcore/Deathcore,Metal,24.16
Graspop Metal Meeting,June,6,2025,Alternative Metal,Metal,44.31
Graspop Metal Meeting,June,6,2025,Groove Metal,Metal,6.35
Graspop Metal Meeting,June,6,2025,Nu Metal,Metal,32.00
Graspop Metal Meeting,June,6,2025,Pop Punk,Punk,6.45
Graspop Metal Meeting,June,6,2024,Alternative Rock,Rock,14.78
Graspop Metal Meeting,June,6,2024,Hard Rock,Rock,34.99
Graspop Metal Meeting,June,6,2024,Pop Rock,Rock,10.50
Graspop Metal Meeting,June,6,2024,Progressive Rock,Rock,9.39
Graspop Metal Meeting,June,6,2024,Heavy Metal,Metal,25.91
Graspop Metal Meeting,June,6,2024,Progressive Metal,Metal,6.29
Graspop Metal Meeting,June,6,2024,Metalcore/Deathcore,Metal,24.16
Graspop Metal Meeting,June,6,2024,Alternative Metal,Metal,19.91
Graspop Metal Meeting,June,6,2024,Groove Metal,Metal,6.31
Graspop Metal Meeting,June,6,2024,Nu Metal,Metal,11.14
Graspop Metal Meeting,June,6,2023,Alternative Rock,Rock,50.92
Graspop Metal Meeting,June,6,2023,Hard Rock,Rock,60.06
Graspop Metal Meeting,June,6,2023,Heavy Metal,Metal,23.59
Graspop Metal Meeting,June,6,2023,Progressive Metal,Metal,16.97
Graspop Metal Meeting,June,6,2023,Thrash Metal,Metal,7.11
Graspop Metal Meeting,June,6,2023,Metalcore/Deathcore,Metal,21.26
Graspop Metal Meeting,June,6,2023,Alternative Metal,Metal,39.44
Graspop Metal Meeting,June,6,2023,Groove Metal,Metal,7.50
Graspop Metal Meeting,June,6,2023,Nu Metal,Metal,26.07
Graspop Metal Meeting,June,6,2023,Glam Metal,Metal,11.12
Graspop Metal Meeting,June,6,2022,Alternative Rock,Rock,20.49
Graspop Metal Meeting,June,6,2022,Hard Rock,Rock,30.04
Graspop Metal Meeting,June,6,2022,Pop Rock,Rock,15.48
Graspop Metal Meeting,June,6,2022,Heavy Metal,Metal,29.07
Graspop Metal Meeting,June,6,2022,Thrash Metal,Metal,7.22
Graspop Metal Meeting,June,6,2022,Metalcore/Deathcore,Metal,13.98
Graspop Metal Meeting,June,6,2022,Alternative Metal,Metal,26.72
Graspop Metal Meeting,June,6,2022,Groove Metal,Metal,8.21
Graspop Metal Meeting,June,6,2022,Nu Metal,Metal,19.64
Graspop Metal Meeting,June,6,2022,Punk Rock,Punk,11.45
Graspop Metal Meeting,June,6,2020,Alternative Rock,Rock,14.41
Graspop Metal Meeting,June,6,2020,Hard Rock,Rock,22.30
Graspop Metal Meeting,June,6,2020,Pop Rock,Rock,9.73
Graspop Metal Meeting,June,6,2020,Progressive Rock,Rock,2.72
Graspop Metal Meeting,June,6,2020,Heavy Metal,Metal,21.62
Graspop Metal Meeting,June,6,2020,Metalcore/Deathcore,Metal,4.51
Graspop Metal Meeting,June,6,2020,Alternative Metal,Metal,29.37
Graspop Metal Meeting,June,6,2020,Nu Metal,Metal,20.96
Graspop Metal Meeting,June,6,2020,Punk Rock,Punk,9.95
Graspop Metal Meeting,June,6,2020,Pop Punk,Punk,2.61
Graspop Metal Meeting,June,6,2019,Alternative Rock,Rock,36.16
Graspop Metal Meeting,June,6,2019,Hard Rock,Rock,46.67
Graspop Metal Meeting,June,6,2019,Heavy Metal,Metal,22.78
Graspop Metal Meeting,June,6,2019,Death Metal,Metal,3.59
Graspop Metal Meeting,June,6,2019,Power Metal,Metal,3.90
Graspop Metal Meeting,June,6,2019,Metalcore/Deathcore,Metal,6.27
Graspop Metal Meeting,June,6,2019,Alternative Metal,Metal,29.42
Graspop Metal Meeting,June,6,2019,Industrial Metal,Metal,5.33
Graspop Metal Meeting,June,6,2019,Nu Metal,Metal,22.86
Graspop Metal Meeting,June,6,2019,Glam Metal,Metal,7.48
Graspop Metal Meeting,June,6,2018,Alternative Rock,Rock,54.98
Graspop Metal Meeting,June,6,2018,Indie Rock,Rock,4.87
Graspop Metal Meeting,June,6,2018,Hard Rock,Rock,52.77
Graspop Metal Meeting,June,6,2018,Pop Rock,Rock,9.95
Graspop Metal Meeting,June,6,2018,Heavy Metal,Metal,45.96
Graspop Metal Meeting,June,6,2018,Thrash Metal,Metal,5.87
Graspop Metal Meeting,June,6,2018,Metalcore/Deathcore,Metal,16.09
Graspop Metal Meeting,June,6,2018,Alternative Metal,Metal,19.85
Graspop Metal Meeting,June,6,2018,Industrial Metal,Metal,5.25
Graspop Metal Meeting,June,6,2018,Nu Metal,Metal,10.53
