Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Lollapalooza Brasil,March,3,1,USA,1.4,296.5
Lollapalooza Brasil,March,3,2,BRA,1.1,226.1
Lollapalooza Brasil,March,3,3,MEX,0.3444,48.8
Lollapalooza Brasil,March,3,4,IND,0.2173,13.7
Lollapalooza Brasil,March,3,5,GBR,0.1927,62.7
Lollapalooza Brasil,March,3,6,IDN,0.1742,52.2
Lollapalooza Brasil,March,3,7,PHL,0.1607,30.0
Lollapalooza Brasil,March,3,8,ARG,0.1508,9.2
Lollapalooza Brasil,March,3,9,CAN,0.1328,52.6
Lollapalooza Brasil,March,3,10,FRA,0.1294,15.1
