Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Lollapalooza Brasil,March,3,2025,Indie Pop,Pop,101.14
Lollapalooza Brasil,March,3,2025,Mainstream Pop,Pop,255.16
Lollapalooza Brasil,March,3,2025,k-pop,Pop,4.86
Lollapalooza Brasil,March,3,2025,Contemporary Hip Hop,Hip Hop,4.96
Lollapalooza Brasil,March,3,2025,Dance,Electronic,33.30
Lollapalooza Brasil,March,3,2025,House,Electronic,7.94
Lollapalooza Brasil,March,3,2025,Contemporary R&B,R&B,40.86
Lollapalooza Brasil,March,3,2025,Indie Rock,Rock,15.72
Lollapalooza Brasil,March,3,2025,Pop Rock,Rock,53.29
Lollapalooza Brasil,March,3,2025,Progressive Rock,Rock,4.86
Lollapalooza Brasil,March,3,2024,Indie Pop,Pop,26.23
Lollapalooza Brasil,March,3,2024,Mainstream Pop,Pop,36.77
Lollapalooza Brasil,March,3,2024,Dance,Electronic,22.89
Lollapalooza Brasil,March,3,2024,Funk Carioca,Latin,30.46
Lollapalooza Brasil,March,3,2024,Contemporary R&B,R&B,57.41
Lollapalooza Brasil,March,3,2024,Soul,R&B,21.70
Lollapalooza Brasil,March,3,2024,Neo Soul,R&B,50.52
Lollapalooza Brasil,March,3,2024,Alternative Rock,Rock,30.50
Lollapalooza Brasil,March,3,2024,Punk Rock,Punk,19.80
Lollapalooza Brasil,March,3,2024,Pop Punk,Punk,24.50
Lollapalooza Brasil,March,3,2023,Latin Pop,Pop,31.44
Lollapalooza Brasil,March,3,2023,Indie Pop,Pop,170.91
Lollapalooza Brasil,March,3,2023,Mainstream Pop,Pop,172.54
Lollapalooza Brasil,March,3,2023,Dream Pop,Pop,20.38
Lollapalooza Brasil,March,3,2023,Contemporary Hip Hop,Hip Hop,58.35
Lollapalooza Brasil,March,3,2023,Dance,Electronic,22.79
Lollapalooza Brasil,March,3,2023,House,Electronic,20.66
Lollapalooza Brasil,March,3,2023,Contemporary R&B,R&B,23.02
Lollapalooza Brasil,March,3,2023,Neo Soul,R&B,20.68
Lollapalooza Brasil,March,3,2023,Alternative Rock,Rock,20.55
Lollapalooza Brasil,March,3,2022,Latin Pop,Pop,12.33
Lollapalooza Brasil,March,3,2022,Mainstream Pop,Pop,136.13
Lollapalooza Brasil,March,3,2022,Trap,Hip Hop,18.33
Lollapalooza Brasil,March,3,2022,Contemporary Hip Hop,Hip Hop,71.87
Lollapalooza Brasil,March,3,2022,Dance,Electronic,65.25
Lollapalooza Brasil,March,3,2022,Electro House,Electronic,20.38
Lollapalooza Brasil,March,3,2022,Funk Carioca,Latin,11.75
Lollapalooza Brasil,March,3,2022,Contemporary R&B,R&B,19.64
Lollapalooza Brasil,March,3,2022,Alternative Rock,Rock,11.87
Lollapalooza Brasil,March,3,2022,Indie Rock,Rock,15.65
Lollapalooza Brasil,March,3,2019,Indie Pop,Pop,65.53
Lollapalooza Brasil,March,3,2019,Mainstream Pop,Pop,106.54
Lollapalooza Brasil,March,3,2019,Alternative Hip Hop,Hip Hop,54.22
Lollapalooza Brasil,March,3,2019,Contemporary Hip Hop,Hip Hop,59.57
Lollapalooza Brasil,March,3,2019,Dance,Electronic,64.19
Lollapalooza Brasil,March,3,2019,Tech House,Electronic,10.53
Lollapalooza Brasil,March,3,2019,Trance,Electronic,20.38
Lollapalooza Brasil,March,3,2019,Alternative Rock,Rock,66.83
Lollapalooza Brasil,March,3,2019,Indie Rock,Rock,47.62
Lollapalooza Brasil,March,3,2019,Funk Rock,Rock,9.86
Lollapalooza Brasil,March,3,2018,Indie Pop,Pop,59.33
Lollapalooza Brasil,March,3,2018,Mainstream Pop,Pop,110.05
Lollapalooza Brasil,March,3,2018,Contemporary Hip Hop,Hip Hop,46.32
Lollapalooza Brasil,March,3,2018,Dance,Electronic,88.36
Lollapalooza Brasil,March,3,2018,Electro House,Electronic,20.38
Lollapalooza Brasil,March,3,2018,Contemporary R&B,R&B,41.19
Lollapalooza Brasil,March,3,2018,Alternative Rock,Rock,105.94
Lollapalooza Brasil,March,3,2018,Indie Rock,Rock,31.47
Lollapalooza Brasil,March,3,2018,Funk Rock,Rock,20.38
Lollapalooza Brasil,March,3,2018,Pop Rock,Rock,48.27
