Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Lollapalooza,2025,July/August,7,Mainstream Pop,Pop,172.69
Lollapalooza,2025,July/August,7,Indie Pop,Pop,166.55
Lollapalooza,2025,July/August,7,k-pop,Pop,42.56
Lollapalooza,2025,July/August,7,Contemporary Hip Hop,Hip Hop,73.01
Lollapalooza,2025,July/August,7,Dance,Electronic,36.31
Lollapalooza,2025,July/August,7,Contemporary R&B,R&B,59.27
Lollapalooza,2025,July/August,7,Alternative R&B,R&B,30.83
Lollapalooza,2025,July/August,7,Indie Rock,Rock,33.50
Lollapalooza,2025,July/August,7,Pop Rock,Rock,53.30
Lollapalooza,2025,July/August,7,Contemporary Country,Country,23.63
Lollapalooza,2024,August,8,Mainstream Pop,Pop,237.29
Lollapalooza,2024,August,8,Indie Pop,Pop,205.61
Lollapalooza,2024,August,8,Alternative Hip Hop,Hip Hop,36.85
Lollapalooza,2024,August,8,Trap,Hip Hop,71.93
Lollapalooza,2024,August,8,Contemporary Hip Hop,Hip Hop,65.60
Lollapalooza,2024,August,8,Dance,Electronic,60.98
Lollapalooza,2024,August,8,Contemporary R&B,R&B,100.14
Lollapalooza,2024,August,8,Soul,R&B,25.24
Lollapalooza,2024,August,8,Neo Soul,R&B,51.00
Lollapalooza,2024,August,8,Alternative Rock,Rock,35.01
Lollapalooza,2023,August,8,Mainstream Pop,Pop,242.51
Lollapalooza,2023,August,8,Indie Pop,Pop,221.76
Lollapalooza,2023,August,8,Latin Pop,Pop,48.11
Lollapalooza,2023,August,8,Trap,Hip Hop,35.26
Lollapalooza,2023,August,8,Contemporary Hip Hop,Hip Hop,67.01
Lollapalooza,2023,August,8,Dance,Electronic,64.14
Lollapalooza,2023,August,8,Reggaeton,Latin,48.03
Lollapalooza,2023,August,8,Contemporary R&B,R&B,34.56
Lollapalooza,2023,August,8,Alternative Rock,Rock,38.46
Lollapalooza,2023,August,8,Indie Rock,Rock,38.64
Lollapalooza,2022,July,7,Mainstream Pop,Pop,121.21
Lollapalooza,2022,July,7,Indie Pop,Pop,96.92
Lollapalooza,2022,July,7,Hyperpop,Pop,22.17
Lollapalooza,2022,July,7,Alternative Hip Hop,Hip Hop,45.42
Lollapalooza,2022,July,7,Trap,Hip Hop,62.80
Lollapalooza,2022,July,7,Contemporary Hip Hop,Hip Hop,97.00
Lollapalooza,2022,July,7,Dance,Electronic,32.70
Lollapalooza,2022,July,7,Alternative Rock,Rock,38.20
Lollapalooza,2022,July,7,Indie Rock,Rock,27.88
Lollapalooza,2022,July,7,Punk Rock,Punk,21.34
Lollapalooza,2021,July/August,7,Mainstream Pop,Pop,176.55
Lollapalooza,2021,July/August,7,Indie Pop,Pop,56.37
Lollapalooza,2021,July/August,7,Alternative Hip Hop,Hip Hop,145.93
Lollapalooza,2021,July/August,7,Trap,Hip Hop,123.97
Lollapalooza,2021,July/August,7,Contemporary Hip Hop,Hip Hop,78.95
Lollapalooza,2021,July/August,7,Dance,Electronic,74.89
Lollapalooza,2021,July/August,7,Contemporary R&B,R&B,35.18
Lollapalooza,2021,July/August,7,Indie Rock,Rock,23.93
Lollapalooza,2021,July/August,7,Hard Rock,Rock,19.64
Lollapalooza,2021,July/August,7,Pop Rock,Rock,19.19
Lollapalooza,2020,July/August,7,Mainstream Pop,Pop,86.32
Lollapalooza,2020,July/August,7,Indie Pop,Pop,18.75
Lollapalooza,2020,July/August,7,Alternative Hip Hop,Hip Hop,22.78
Lollapalooza,2020,July/August,7,Trap,Hip Hop,12.70
Lollapalooza,2020,July/August,7,Contemporary Hip Hop,Hip Hop,9.22
Lollapalooza,2020,July/August,7,Dance,Electronic,42.67
Lollapalooza,2020,July/August,7,House,Electronic,4.86
Lollapalooza,2020,July/August,7,Alternative Rock,Rock,6.89
Lollapalooza,2020,July/August,7,Indie Rock,Rock,12.33
Lollapalooza,2020,July/August,7,Rap Metal,Metal,4.86
Lollapalooza,2019,August,8,Mainstream Pop,Pop,192.91
Lollapalooza,2019,August,8,Indie Pop,Pop,111.58
Lollapalooza,2019,August,8,Latin Pop,Pop,79.55
Lollapalooza,2019,August,8,Alternative Hip Hop,Hip Hop,31.65
Lollapalooza,2019,August,8,Trap,Hip Hop,101.88
Lollapalooza,2019,August,8,Contemporary Hip Hop,Hip Hop,86.35
Lollapalooza,2019,August,8,Dance,Electronic,53.43
Lollapalooza,2019,August,8,Reggaeton,Latin,49.35
Lollapalooza,2019,August,8,Contemporary R&B,R&B,123.00
Lollapalooza,2019,August,8,Alternative Rock,Rock,52.08
Lollapalooza,2018,August,8,Mainstream Pop,Pop,475.47
Lollapalooza,2018,August,8,Indie Pop,Pop,193.30
Lollapalooza,2018,August,8,Alternative Hip Hop,Hip Hop,99.08
Lollapalooza,2018,August,8,Trap,Hip Hop,103.11
Lollapalooza,2018,August,8,Contemporary Hip Hop,Hip Hop,87.37
Lollapalooza,2018,August,8,Dance,Electronic,45.52
Lollapalooza,2018,August,8,Contemporary R&B,R&B,227.04
Lollapalooza,2018,August,8,Neo Soul,R&B,23.25
Lollapalooza,2018,August,8,Indie Rock,Rock,47.23
Lollapalooza,2018,August,8,Contemporary Country,Country,25.24
