Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Open'er Festival,2026,July,7,"Jul 1-4",JENNIE (제니),KOR,44,27,6,Pop,k-pop,1 Festival
Open'er Festival,2026,July,7,"Jul 1-4",Zara Larsson,SWE,56,33,32,Pop,Mainstream Pop,1 Festival
Open'er Festival,2026,July,7,"Jul 1-4",Calvin Harris,GBR,79,4,4,Electronic,Dance,4 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",Halsey,USA,172,83,63,Pop,Mainstream Pop,3 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",PinkPantheress,GBR,182,89,10,Pop,Indie Pop,9 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",Teddy Swims,USA,185,90,66,Pop,Mainstream Pop,5 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",Martin Garrix,NLD,247,9,10,Electronic,Dance,22 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",Audrey Nuna,USA,368,17,30,R&B,Contemporary R&B,2 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",Addison Rae,USA,541,216,129,Pop,Mainstream Pop,8 Festivals
Open'er Festival,2026,July,7,"Jul 1-4",The Cure,GBR,620,58,36,Rock,Alternative Rock,0 Festival
Open'er Festival,2025,July,7,"Jul 2-5",J Balvin,COL,24,3,3,Latin,Reggaeton,9 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Linkin Park,USA,34,3,1,Rock,Alternative Rock,9 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Camila Cabello,USA,52,30,28,Pop,Mainstream Pop,6 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Future,USA,60,10,2,Hip Hop,Trap,3 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Tyla,ZAF,242,109,75,Pop,Mainstream Pop,7 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Gracie Abrams,USA,369,158,20,Pop,Indie Pop,11 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Conan Gray,USA,462,192,25,Pop,Indie Pop,5 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",Muse,GBR,553,43,25,Rock,Alternative Rock,8 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",BigXthaPlug,USA,660,121,86,Hip Hop,Contemporary Hip Hop,17 Festivals
Open'er Festival,2025,July,7,"Jul 2-5",DEAN LEWIS,AUS,710,273,150,Pop,Mainstream Pop,4 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Dua Lipa,GBR,42,25,24,Pop,Mainstream Pop,2 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Sam Smith,GBR,127,62,51,Pop,Mainstream Pop,1 Festival
Open'er Festival,2024,July,7,"Jul 3-6",21 Savage,USA,148,22,13,Hip Hop,Trap,1 Festival
Open'er Festival,2024,July,7,"Jul 3-6",Gunna,USA,193,28,16,Hip Hop,Trap,2 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Tyla,ZAF,242,109,75,Pop,Mainstream Pop,8 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Skrillex,USA,312,13,1,Electronic,Dubstep,9 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Foo Fighters,USA,391,28,18,Rock,Alternative Rock,2 Festivals
Open'er Festival,2024,July,7,"Jul 3-6",Måneskin,ITA,506,39,22,Rock,Alternative Rock,0 Festival
Open'er Festival,2024,July,7,"Jul 3-6",Ice Spice,USA,524,100,39,Hip Hop,Alternative Hip Hop,1 Festival
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Kendrick Lamar,USA,49,5,6,Hip Hop,Contemporary Hip Hop,3 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",SZA,USA,86,1,9,R&B,Contemporary R&B,0 Festival
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Arctic Monkeys,GBR,132,11,1,Rock,Indie Rock,0 Festival
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Central Cee,GBR,158,23,11,Hip Hop,Alternative Hip Hop,7 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",PinkPantheress,GBR,182,89,10,Pop,Indie Pop,9 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",OneRepublic,USA,194,92,68,Pop,Mainstream Pop,1 Festival
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Metro Boomin,USA,241,39,24,Hip Hop,Trap,2 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Latto,USA,315,52,21,Hip Hop,Alternative Hip Hop,4 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Major Lazer,JAM,330,14,15,Electronic,Dance,5 Festivals
Open'er Festival,2023,July,7,"Jun 28-Jul 1",Anne-Marie,GBR,339,148,95,Pop,Mainstream Pop,0 Festival
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Dua Lipa,GBR,42,25,24,Pop,Mainstream Pop,2 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Imagine Dragons,USA,45,4,4,Rock,Pop Rock,4 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Twenty One Pilots,USA,137,68,7,Pop,Indie Pop,2 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Megan Thee Stallion,USA,141,21,9,Hip Hop,Alternative Hip Hop,1 Festival
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Playboi Carti,USA,246,40,25,Hip Hop,Trap,2 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Martin Garrix,NLD,247,9,10,Electronic,Dance,22 Festivals
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Cigarettes After Sex,USA,302,133,15,Pop,Indie Pop,0 Festival
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Måneskin,ITA,506,39,22,Rock,Alternative Rock,0 Festival
Open'er Festival,2022,July,7,"Jun 29-Jul 2",Glass Animals,GBR,1018,390,62,Pop,Indie Pop,8 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",J Balvin,COL,24,3,3,Latin,Reggaeton,10 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",Lana Del Rey,USA,32,22,20,Pop,Mainstream Pop,1 Festival
Open'er Festival,2019,July,7,"Jul 3-6",Travis Scott,USA,51,6,7,Hip Hop,Contemporary Hip Hop,3 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",ROSALÍA,ESP,169,82,15,Pop,Latin Pop,0 Festival
Open'er Festival,2019,July,7,"Jul 3-6",G-Eazy,USA,540,107,80,Hip Hop,Contemporary Hip Hop,4 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",Diplo,USA,638,21,23,Electronic,Dance,9 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",The Strokes,USA,730,65,7,Rock,Indie Rock,2 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",The 1975,GBR,780,68,10,Rock,Indie Rock,1 Festival
Open'er Festival,2019,July,7,"Jul 3-6",Swedish House Mafia,SWE,828,28,34,Electronic,Dance,4 Festivals
Open'er Festival,2019,July,7,"Jul 3-6",Khea,ARG,936,168,16,Latin,Latin Trap,4 Festivals
Open'er Festival,2018,July,7,"Jul 4-7",Bruno Mars,USA,6,4,4,Pop,Mainstream Pop,0 Festival
Open'er Festival,2018,July,7,"Jul 4-7",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals
Open'er Festival,2018,July,7,"Jul 4-7",Gorillaz,GBR,110,8,4,Rock,Alternative Rock,1 Festival
Open'er Festival,2018,July,7,"Jul 4-7",Arctic Monkeys,GBR,132,11,1,Rock,Indie Rock,0 Festival
Open'er Festival,2018,July,7,"Jul 4-7",Young Thug,USA,202,29,17,Hip Hop,Trap,7 Festivals
Open'er Festival,2018,July,7,"Jul 4-7",Kali Uchis,COL,286,8,22,R&B,Contemporary R&B,1 Festival
Open'er Festival,2018,July,7,"Jul 4-7",Migos,USA,309,51,28,Hip Hop,Trap,0 Festival
Open'er Festival,2018,July,7,"Jul 4-7",Depeche Mode,GBR,602,56,35,Rock,Alternative Rock,2 Festivals
Open'er Festival,2018,July,7,"Jul 4-7",MØ,DNK,1608,584,96,Pop,Indie Pop,8 Festivals
Open'er Festival,2018,July,7,"Jul 4-7",Massive Attack,GBR,1624,57,4,Electronic,Downtempo,12 Festivals
