Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Open'er Festival,July,7,1,USA,1.4,259.9
Open'er Festival,July,7,2,MEX,0.3499,51.7
Open'er Festival,July,7,3,BRA,0.3369,40.2
Open'er Festival,July,7,4,IND,0.2381,16.2
Open'er Festival,July,7,5,GBR,0.179,58.7
Open'er Festival,July,7,6,IDN,0.1629,48.0
Open'er Festival,July,7,7,POL,0.1596,81.6
Open'er Festival,July,7,8,ARG,0.151,8.7
Open'er Festival,July,7,9,PHL,0.1435,22.8
Open'er Festival,July,7,10,FRA,0.1311,15.3
