Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Open'er Festival,July,7,2025,Latin Pop,Pop,48.03
Open'er Festival,July,7,2025,Indie Pop,Pop,58.91
Open'er Festival,July,7,2025,Mainstream Pop,Pop,86.43
Open'er Festival,July,7,2025,Trap,Hip Hop,36.38
Open'er Festival,July,7,2025,Contemporary Hip Hop,Hip Hop,66.46
Open'er Festival,July,7,2025,Reggaeton,Latin,48.74
Open'er Festival,July,7,2025,Contemporary R&B,R&B,37.40
Open'er Festival,July,7,2025,Alternative R&B,R&B,27.72
Open'er Festival,July,7,2025,Alternative Rock,Rock,61.05
Open'er Festival,July,7,2025,Nu Metal,Metal,48.03
Open'er Festival,July,7,2024,Indie Pop,Pop,16.03
Open'er Festival,July,7,2024,Mainstream Pop,Pop,114.58
Open'er Festival,July,7,2024,Alternative Hip Hop,Hip Hop,18.17
Open'er Festival,July,7,2024,Trap,Hip Hop,33.46
Open'er Festival,July,7,2024,Contemporary Hip Hop,Hip Hop,49.57
Open'er Festival,July,7,2024,Dance,Electronic,12.37
Open'er Festival,July,7,2024,House,Electronic,11.14
Open'er Festival,July,7,2024,Alternative Rock,Rock,23.87
Open'er Festival,July,7,2024,Indie Rock,Rock,14.99
Open'er Festival,July,7,2024,Afrobeat,African,20.38
Open'er Festival,July,7,2023,Indie Pop,Pop,52.62
Open'er Festival,July,7,2023,Mainstream Pop,Pop,50.88
Open'er Festival,July,7,2023,Alternative Hip Hop,Hip Hop,50.16
Open'er Festival,July,7,2023,Trap,Hip Hop,58.36
Open'er Festival,July,7,2023,Contemporary Hip Hop,Hip Hop,81.21
Open'er Festival,July,7,2023,Drill,Hip Hop,20.38
Open'er Festival,July,7,2023,Contemporary R&B,R&B,53.60
Open'er Festival,July,7,2023,Neo Soul,R&B,52.90
Open'er Festival,July,7,2023,Indie Rock,Rock,26.82
Open'er Festival,July,7,2023,Pop Rock,Rock,21.77
Open'er Festival,July,7,2022,Indie Pop,Pop,46.84
Open'er Festival,July,7,2022,Mainstream Pop,Pop,95.06
Open'er Festival,July,7,2022,Dream Pop,Pop,20.38
Open'er Festival,July,7,2022,Alternative Hip Hop,Hip Hop,43.25
Open'er Festival,July,7,2022,Trap,Hip Hop,40.76
Open'er Festival,July,7,2022,Contemporary Hip Hop,Hip Hop,20.60
Open'er Festival,July,7,2022,Dance,Electronic,22.86
Open'er Festival,July,7,2022,Alternative Rock,Rock,80.76
Open'er Festival,July,7,2022,Indie Rock,Rock,18.25
Open'er Festival,July,7,2022,Pop Rock,Rock,48.03
Open'er Festival,July,7,2019,Latin Pop,Pop,57.86
Open'er Festival,July,7,2019,Indie Pop,Pop,68.13
Open'er Festival,July,7,2019,Mainstream Pop,Pop,75.53
Open'er Festival,July,7,2019,Trap,Hip Hop,56.70
Open'er Festival,July,7,2019,Contemporary Hip Hop,Hip Hop,59.57
Open'er Festival,July,7,2019,Dance,Electronic,24.53
Open'er Festival,July,7,2019,Reggaeton,Latin,52.90
Open'er Festival,July,7,2019,Alternative Rock,Rock,14.38
Open'er Festival,July,7,2019,Indie Rock,Rock,26.29
Open'er Festival,July,7,2019,Moombahton,Reggae,9.82
Open'er Festival,July,7,2018,Indie Pop,Pop,29.71
Open'er Festival,July,7,2018,Mainstream Pop,Pop,102.38
Open'er Festival,July,7,2018,Alternative Hip Hop,Hip Hop,73.80
Open'er Festival,July,7,2018,Trap,Hip Hop,22.55
Open'er Festival,July,7,2018,Contemporary Hip Hop,Hip Hop,23.79
Open'er Festival,July,7,2018,Contemporary R&B,R&B,68.50
Open'er Festival,July,7,2018,Neo Soul,R&B,20.38
Open'er Festival,July,7,2018,Alternative Rock,Rock,32.57
Open'er Festival,July,7,2018,Indie Rock,Rock,29.38
Open'er Festival,July,7,2018,Pop Rock,Rock,11.29
