Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Osheaga,August,8,2025,Indie Pop,Pop,106.29
Osheaga,August,8,2025,Mainstream Pop,Pop,96.96
Osheaga,August,8,2025,Alternative Hip Hop,Hip Hop,25.24
Osheaga,August,8,2025,Contemporary Hip Hop,Hip Hop,94.26
Osheaga,August,8,2025,Dance,Electronic,38.99
Osheaga,August,8,2025,Contemporary R&B,R&B,32.79
Osheaga,August,8,2025,Alternative R&B,R&B,21.90
Osheaga,August,8,2025,Alternative Rock,Rock,18.12
Osheaga,August,8,2025,Indie Rock,Rock,19.09
Osheaga,August,8,2025,Pop Rock,Rock,53.05
Osheaga,August,8,2024,Indie Pop,Pop,85.78
Osheaga,August,8,2024,Mainstream Pop,Pop,139.31
Osheaga,August,8,2024,Trap,Hip Hop,23.44
Osheaga,August,8,2024,Dance,Electronic,41.08
Osheaga,August,8,2024,Contemporary R&B,R&B,119.01
Osheaga,August,8,2024,Soul,R&B,35.06
Osheaga,August,8,2024,Neo Soul,R&B,50.52
Osheaga,August,8,2024,Alternative Rock,Rock,46.93
Osheaga,August,8,2024,Punk Rock,Punk,22.32
Osheaga,August,8,2024,Afrobeat,African,31.65
Osheaga,August,8,2023,Indie Pop,Pop,170.22
Osheaga,August,8,2023,Mainstream Pop,Pop,129.91
Osheaga,August,8,2023,Dream Pop,Pop,20.38
Osheaga,August,8,2023,Alternative Hip Hop,Hip Hop,47.52
Osheaga,August,8,2023,Trap,Hip Hop,25.93
Osheaga,August,8,2023,Contemporary Hip Hop,Hip Hop,77.50
Osheaga,August,8,2023,Drill,Hip Hop,20.38
Osheaga,August,8,2023,House,Electronic,15.97
Osheaga,August,8,2023,Indie Rock,Rock,26.57
Osheaga,August,8,2023,Afrobeat,African,14.79
Osheaga,August,8,2019,Latin Pop,Pop,57.86
Osheaga,August,8,2019,Indie Pop,Pop,79.59
Osheaga,August,8,2019,Mainstream Pop,Pop,48.08
Osheaga,August,8,2019,Alternative Hip Hop,Hip Hop,35.97
Osheaga,August,8,2019,Trap,Hip Hop,50.97
Osheaga,August,8,2019,Contemporary Hip Hop,Hip Hop,29.17
Osheaga,August,8,2019,Reggaeton,Latin,48.03
Osheaga,August,8,2019,Contemporary R&B,R&B,16.73
Osheaga,August,8,2019,Soul,R&B,25.85
Osheaga,August,8,2019,Indie Rock,Rock,27.55
Osheaga,August,8,2018,Indie Pop,Pop,196.98
Osheaga,August,8,2018,Mainstream Pop,Pop,276.54
Osheaga,August,8,2018,Dream Pop,Pop,20.77
Osheaga,August,8,2018,Alternative Hip Hop,Hip Hop,61.46
Osheaga,August,8,2018,Trap,Hip Hop,61.30
Osheaga,August,8,2018,Contemporary Hip Hop,Hip Hop,82.59
Osheaga,August,8,2018,Dance,Electronic,26.71
Osheaga,August,8,2018,Contemporary R&B,R&B,65.17
Osheaga,August,8,2018,Neo Soul,R&B,22.89
Osheaga,August,8,2018,Indie Rock,Rock,56.95
