Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Viberate_Rank_Overall,Viberate_Rank_Electronic,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Parookaville,2026,July,7,"Jul 17-19",The Chainsmokers,USA,126,5,5,Electronic,Dance,13 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,30 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2026,July,7,"Jul 17-19",R3hab,NLD,1409,50,51,Electronic,Dance,11 Festivals,
Parookaville,2026,July,7,"Jul 17-19",FISHER,AUS,1443,52,2,Electronic,Tech House,26 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Charlotte de Witte,BEL,1552,54,2,Electronic,Techno,33 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Felix Jaehn,DEU,1818,65,9,Electronic,House,3 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Topic,DEU,2535,98,91,Electronic,Dance,4 Festivals,
Parookaville,2026,July,7,"Jul 17-19",Scooter,DEU,2785,114,103,Electronic,Dance,7 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,29 Festivals,
Parookaville,2025,July,7,"Jul 18-20",HUGEL,FRA,659,22,1,Electronic,Afro House,20 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Robin Schulz,DEU,690,23,25,Electronic,Dance,8 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Afrojack,NLD,880,29,35,Electronic,Dance,26 Festivals,
Parookaville,2025,July,7,"Jul 18-20",W&W,NLD,904,30,36,Electronic,Dance,2 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Steve Aoki,USA,999,34,38,Electronic,Dance,19 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Hardwell,NLD,1389,48,50,Electronic,Dance,17 Festivals,
Parookaville,2025,July,7,"Jul 18-20",James Hype,GBR,1896,67,64,Electronic,Dance,18 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Meduza,ITA,2287,82,73,Electronic,Dance,15 Festivals,
Parookaville,2025,July,7,"Jul 18-20",Timmy Trumpet,AUS,2302,83,74,Electronic,Dance,25 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,30 Festivals,
Parookaville,2024,July,7,"Jul 19-21",HUGEL,FRA,659,22,1,Electronic,Afro House,21 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Robin Schulz,DEU,690,23,25,Electronic,Dance,9 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Dimitri Vegas & Like Mike,BEL,746,26,29,Electronic,Dance,10 Festivals,
Parookaville,2024,July,7,"Jul 19-21",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2024,July,7,"Jul 19-21",John Summit,USA,1248,43,1,Electronic,Tech House,35 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Hardwell,NLD,1389,48,50,Electronic,Dance,18 Festivals,
Parookaville,2024,July,7,"Jul 19-21",John Newman,GBR,1517,558,296,Pop,Mainstream Pop,6 Festivals,
Parookaville,2024,July,7,"Jul 19-21",Felix Jaehn,DEU,1818,65,9,Electronic,House,3 Festivals,
Parookaville,2023,July,7,"Jul 21-23",The Chainsmokers,USA,126,5,5,Electronic,Dance,13 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Alok,BRA,275,11,12,Electronic,Dance,18 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Kygo,NOR,452,17,18,Electronic,Dance,15 Festivals,
Parookaville,2023,July,7,"Jul 21-23",HUGEL,FRA,659,22,1,Electronic,Afro House,21 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Dimitri Vegas & Like Mike,BEL,746,26,29,Electronic,Dance,10 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Afrojack,NLD,880,29,35,Electronic,Dance,27 Festivals,
Parookaville,2023,July,7,"Jul 21-23",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Alesso,SWE,1096,37,41,Electronic,Dance,18 Festivals,
Parookaville,2023,July,7,"Jul 21-23",Vintage Culture,BRA,1375,47,7,Electronic,House,30 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Tiësto,NLD,294,12,13,Electronic,Dance,25 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,30 Festivals,
Parookaville,2022,July,7,"Jul 22-24",HUGEL,FRA,659,22,1,Electronic,Afro House,21 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Robin Schulz,DEU,690,23,25,Electronic,Dance,9 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Dimitri Vegas & Like Mike,BEL,746,26,29,Electronic,Dance,10 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Afrojack,NLD,880,29,35,Electronic,Dance,27 Festivals,
Parookaville,2022,July,7,"Jul 22-24",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,
Parookaville,2022,July,7,"Jul 22-24",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2022,July,7,"Jul 22-24",FISHER,AUS,1443,52,2,Electronic,Tech House,26 Festivals,
Parookaville,2020,July,7,"Jul (cancelled)",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",Topic,DEU,2535,98,91,Electronic,Dance,4 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",Alle Farben,DEU,5440,292,234,Electronic,Dance,7 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",Fedde Le Grand,NLD,6067,322,258,Electronic,Dance,8 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",Brennan Heart,NLD,7411,414,9,Electronic,Hardstyle/Hardcore,23 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",Tujamo,DEU,7454,419,322,Electronic,Dance,6 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",David Puentez,DEU,20869,1646,1085,Electronic,Dance,5 Festivals,COVID-19 cancellation
Parookaville,2020,July,7,"Jul (cancelled)",LARI LUKE,DEU,60450,6723,1654,Electronic,House,5 Festivals,COVID-19 cancellation
Parookaville,2019,July,7,"Jul 19-21",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals,
Parookaville,2019,July,7,"Jul 19-21",The Chainsmokers,USA,126,5,5,Electronic,Dance,13 Festivals,
Parookaville,2019,July,7,"Jul 19-21",DJ Snake,FRA,152,7,8,Electronic,Dance,27 Festivals,
Parookaville,2019,July,7,"Jul 19-21",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,30 Festivals,
Parookaville,2019,July,7,"Jul 19-21",HUGEL,FRA,659,22,1,Electronic,Afro House,21 Festivals,
Parookaville,2019,July,7,"Jul 19-21",Robin Schulz,DEU,690,23,25,Electronic,Dance,9 Festivals,
Parookaville,2019,July,7,"Jul 19-21",Dimitri Vegas & Like Mike,BEL,746,26,29,Electronic,Dance,10 Festivals,
Parookaville,2019,July,7,"Jul 19-21",Afrojack,NLD,880,29,35,Electronic,Dance,27 Festivals,
Parookaville,2019,July,7,"Jul 19-21",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,
Parookaville,2019,July,7,"Jul 19-21",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2018,July,7,"Jul 20-22",David Guetta,FRA,43,1,1,Electronic,Dance,11 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Martin Garrix,NLD,247,9,10,Electronic,Dance,20 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Zedd,USA,573,18,21,Electronic,Dance,19 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Armin Van Buuren,NLD,628,19,2,Electronic,Trance,30 Festivals,
Parookaville,2018,July,7,"Jul 20-22",HUGEL,FRA,659,22,1,Electronic,Afro House,21 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Robin Schulz,DEU,690,23,25,Electronic,Dance,9 Festivals,
Parookaville,2018,July,7,"Jul 20-22",W&W,NLD,904,30,36,Electronic,Dance,3 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Jonas Blue,GBR,1022,35,39,Electronic,Dance,2 Festivals,
Parookaville,2018,July,7,"Jul 20-22",Lost Frequencies,BEL,1079,36,40,Electronic,Dance,18 Festivals,
