Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Pinkpop,2026,June,6,"Jun 19-21",Twenty One Pilots,USA,139,69,7,Pop,Indie Pop,2 Festivals
Pinkpop,2026,June,6,"Jun 19-21",The Cure,GBR,623,59,37,Rock,Alternative Rock,0 Festival
Pinkpop,2026,June,6,"Jun 19-21",Foo Fighters,USA,384,28,17,Rock,Alternative Rock,2 Festivals
Pinkpop,2026,June,6,"Jun 19-21",Zara Larsson,SWE,57,33,32,Pop,Mainstream Pop,1 Festival
Pinkpop,2026,June,6,"Jun 19-21",Halsey,USA,170,83,62,Pop,Mainstream Pop,3 Festivals
Pinkpop,2026,June,6,"Jun 19-21",Teddy Swims,USA,185,90,66,Pop,Mainstream Pop,5 Festivals
Pinkpop,2026,June,6,"Jun 19-21",YUNGBLUD,GBR,675,60,38,Rock,Alternative Rock,10 Festivals
Pinkpop,2026,June,6,"Jun 19-21",Natasha Bedingfield,GBR,1733,613,326,Pop,Mainstream Pop,24 Festivals
Pinkpop,2026,June,6,"Jun 19-21",Max McNown,USA,2070,44,47,Country,Contemporary Country,11 Festivals
Pinkpop,2026,June,6,"Jun 19-21",Lauren Spencer-Smith,CAN,2362,820,426,Pop,Mainstream Pop,1 Festival
Pinkpop,2025,June,6,"Jun 20-22",Olivia Rodrigo,USA,41,26,24,Pop,Mainstream Pop,13 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Justin Timberlake,USA,99,52,46,Pop,Mainstream Pop,12 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Tate McRae,CAN,161,80,60,Pop,Mainstream Pop,2 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Korn,USA,501,8,6,Metal,Alternative Metal,17 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Muse,GBR,556,44,26,Rock,Alternative Rock,8 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Weezer,USA,568,49,30,Rock,Alternative Rock,22 Festivals
Pinkpop,2025,June,6,"Jun 20-22",DEAN LEWIS,AUS,734,281,152,Pop,Mainstream Pop,4 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Tom Odell,GBR,871,338,50,Pop,Indie Pop,8 Festivals
Pinkpop,2025,June,6,"Jun 20-22",Shaboozey,USA,1122,21,23,Country,Contemporary Country,17 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Ed Sheeran,GBR,14,11,11,Pop,Mainstream Pop,3 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Calvin Harris,GBR,76,4,4,Electronic,Dance,4 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Sam Smith,GBR,124,62,50,Pop,Mainstream Pop,1 Festival
Pinkpop,2024,June,6,"Jun 21-23",Avril Lavigne,CAN,232,2,1,Punk,Pop Punk,7 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Hozier,IRL,323,9,3,R&B,Soul,20 Festivals
Pinkpop,2024,June,6,"Jun 21-23",James Arthur,GBR,341,149,97,Pop,Mainstream Pop,2 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Limp Bizkit,USA,506,9,7,Metal,Alternative Metal,2 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Måneskin,ITA,515,39,22,Rock,Alternative Rock,0 Festival
Pinkpop,2024,June,6,"Jun 21-23",YUNGBLUD,GBR,675,60,38,Rock,Alternative Rock,10 Festivals
Pinkpop,2024,June,6,"Jun 21-23",Calum Scott,GBR,791,307,162,Pop,Mainstream Pop,3 Festivals
Pinkpop,2023,June,6,"Jun 16-18",P!nk,USA,115,57,48,Pop,Mainstream Pop,0 Festival
Pinkpop,2023,June,6,"Jun 16-18",Red Hot Chili Peppers,USA,120,10,1,Rock,Funk Rock,0 Festival
Pinkpop,2023,June,6,"Jun 16-18",OneRepublic,USA,181,88,64,Pop,Mainstream Pop,1 Festival
Pinkpop,2023,June,6,"Jun 16-18",Ellie Goulding,GBR,204,95,69,Pop,Mainstream Pop,0 Festival
Pinkpop,2023,June,6,"Jun 16-18",Machine Gun Kelly,USA,467,85,66,Hip Hop,Contemporary Hip Hop,0 Festival
Pinkpop,2023,June,6,"Jun 16-18",Niall Horan,IRL,590,232,133,Pop,Mainstream Pop,0 Festival
Pinkpop,2023,June,6,"Jun 16-18",Disturbed,USA,616,58,36,Rock,Alternative Rock,1 Festival
Pinkpop,2023,June,6,"Jun 16-18",Tom Odell,GBR,871,338,50,Pop,Indie Pop,9 Festivals
Pinkpop,2023,June,6,"Jun 16-18",Robbie Williams,GBR,897,347,185,Pop,Mainstream Pop,2 Festivals
Pinkpop,2023,June,6,"Jun 16-18",Tove Lo,SWE,1048,398,211,Pop,Mainstream Pop,0 Festival
Pinkpop,2022,June,6,"Jun 17-19",Imagine Dragons,USA,47,4,5,Rock,Pop Rock,4 Festivals
Pinkpop,2022,June,6,"Jun 17-19",Zara Larsson,SWE,57,33,32,Pop,Mainstream Pop,1 Festival
Pinkpop,2022,June,6,"Jun 17-19",Metallica,USA,94,1,1,Metal,Heavy Metal,3 Festivals
Pinkpop,2022,June,6,"Jun 17-19",Twenty One Pilots,USA,139,69,7,Pop,Indie Pop,2 Festivals
Pinkpop,2022,June,6,"Jun 17-19",Deftones,USA,438,6,5,Metal,Alternative Metal,21 Festivals
Pinkpop,2022,June,6,"Jun 17-19",Måneskin,ITA,515,39,22,Rock,Alternative Rock,0 Festival
Pinkpop,2022,June,6,"Jun 17-19",Pearl Jam,USA,557,45,27,Rock,Alternative Rock,1 Festival
Pinkpop,2022,June,6,"Jun 17-19",Lost Frequencies,BEL,1079,36,40,Electronic,Dance,18 Festivals
Pinkpop,2022,June,6,"Jun 17-19",Tones And I,AUS,1324,484,266,Pop,Mainstream Pop,0 Festival
Pinkpop,2022,June,6,"Jun 17-19",Dermot Kennedy,IRL,1929,671,363,Pop,Mainstream Pop,2 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Bruno Mars,USA,6,4,4,Pop,Mainstream Pop,0 Festival
Pinkpop,2019,June,6,"Jun 8-10",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Foo Fighters,USA,384,28,17,Rock,Alternative Rock,2 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Jessie J,GBR,406,174,107,Pop,Mainstream Pop,1 Festival
Pinkpop,2019,June,6,"Jun 8-10",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Pearl Jam,USA,557,45,27,Rock,Alternative Rock,1 Festival
Pinkpop,2019,June,6,"Jun 8-10",AURORA,NOR,752,291,44,Pop,Indie Pop,10 Festivals
Pinkpop,2019,June,6,"Jun 8-10",The Script,IRL,1059,101,71,Rock,Pop Rock,8 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Jess Glynne,GBR,1279,472,256,Pop,Mainstream Pop,11 Festivals
Pinkpop,2019,June,6,"Jun 8-10",Milky Chance,DEU,1817,641,106,Pop,Indie Pop,9 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Bruno Mars,USA,6,4,4,Pop,Mainstream Pop,0 Festival
Pinkpop,2018,June,6,"Jun 15-17",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Foo Fighters,USA,384,28,17,Rock,Alternative Rock,2 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Jessie J,GBR,406,174,107,Pop,Mainstream Pop,1 Festival
Pinkpop,2018,June,6,"Jun 15-17",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Pearl Jam,USA,557,45,27,Rock,Alternative Rock,1 Festival
Pinkpop,2018,June,6,"Jun 15-17",AURORA,NOR,752,291,44,Pop,Indie Pop,10 Festivals
Pinkpop,2018,June,6,"Jun 15-17",The Script,IRL,1059,101,71,Rock,Pop Rock,8 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Jess Glynne,GBR,1279,472,256,Pop,Mainstream Pop,11 Festivals
Pinkpop,2018,June,6,"Jun 15-17",Milky Chance,DEU,1817,641,106,Pop,Indie Pop,9 Festivals
