Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Pinkpop,June,6,2025,Indie Pop,Pop,25.13
Pinkpop,June,6,2025,Mainstream Pop,Pop,158.16
Pinkpop,June,6,2025,Contemporary Hip Hop,Hip Hop,12.33
Pinkpop,June,6,2025,House,Electronic,4.87
Pinkpop,June,6,2025,Contemporary R&B,R&B,21.70
Pinkpop,June,6,2025,Alternative Rock,Rock,28.22
Pinkpop,June,6,2025,Pop Rock,Rock,58.12
Pinkpop,June,6,2025,Alternative Metal,Metal,9.82
Pinkpop,June,6,2025,Nu Metal,Metal,9.82
Pinkpop,June,6,2025,Contemporary Country,Country,14.68
Pinkpop,June,6,2024,Indie Pop,Pop,47.70
Pinkpop,June,6,2024,Mainstream Pop,Pop,188.52
Pinkpop,June,6,2024,Dance,Electronic,50.52
Pinkpop,June,6,2024,Soul,R&B,20.38
Pinkpop,June,6,2024,Alternative Rock,Rock,37.24
Pinkpop,June,6,2024,Indie Rock,Rock,22.90
Pinkpop,June,6,2024,Pop Rock,Rock,7.29
Pinkpop,June,6,2024,Alternative Metal,Metal,16.09
Pinkpop,June,6,2024,Nu Metal,Metal,10.53
Pinkpop,June,6,2024,Pop Punk,Punk,21.70
Pinkpop,June,6,2023,Indie Pop,Pop,34.13
Pinkpop,June,6,2023,Mainstream Pop,Pop,100.29
Pinkpop,June,6,2023,Trap,Hip Hop,9.82
Pinkpop,June,6,2023,Contemporary Hip Hop,Hip Hop,10.20
Pinkpop,June,6,2023,Alternative Rock,Rock,48.27
Pinkpop,June,6,2023,Folk Rock,Rock,15.61
Pinkpop,June,6,2023,Funk Rock,Rock,20.38
Pinkpop,June,6,2023,Pop Rock,Rock,52.05
Pinkpop,June,6,2023,Heavy Metal,Metal,9.82
Pinkpop,June,6,2023,Blues Rock,Blues,5.29
Pinkpop,June,6,2022,Indie Pop,Pop,30.20
Pinkpop,June,6,2022,Mainstream Pop,Pop,33.99
Pinkpop,June,6,2022,Dance,Electronic,9.82
Pinkpop,June,6,2022,Alternative Rock,Rock,102.83
Pinkpop,June,6,2022,Indie Rock,Rock,20.13
Pinkpop,June,6,2022,Pop Rock,Rock,51.38
Pinkpop,June,6,2022,Heavy Metal,Metal,22.86
Pinkpop,June,6,2022,Thrash Metal,Metal,20.38
Pinkpop,June,6,2022,Alternative Metal,Metal,9.82
Pinkpop,June,6,2022,Nu Metal,Metal,9.82
Pinkpop,June,6,2019,Latin Pop,Pop,48.03
Pinkpop,June,6,2019,Indie Pop,Pop,12.09
Pinkpop,June,6,2019,Mainstream Pop,Pop,24.11
Pinkpop,June,6,2019,Dance,Electronic,20.42
Pinkpop,June,6,2019,Trance,Electronic,9.82
Pinkpop,June,6,2019,Reggaeton,Latin,48.03
Pinkpop,June,6,2019,Alternative Rock,Rock,52.13
Pinkpop,June,6,2019,Indie Rock,Rock,34.77
Pinkpop,June,6,2019,Hard Rock,Rock,27.45
Pinkpop,June,6,2019,Pop Rock,Rock,35.98
Pinkpop,June,6,2018,Indie Pop,Pop,13.90
Pinkpop,June,6,2018,Mainstream Pop,Pop,95.72
Pinkpop,June,6,2018,Dance,Electronic,25.58
Pinkpop,June,6,2018,Electro House,Electronic,20.38
Pinkpop,June,6,2018,Contemporary R&B,R&B,48.17
Pinkpop,June,6,2018,Alternative Rock,Rock,31.68
Pinkpop,June,6,2018,Indie Rock,Rock,12.77
Pinkpop,June,6,2018,Folk Rock,Rock,10.02
Pinkpop,June,6,2018,Hard Rock,Rock,12.38
Pinkpop,June,6,2018,Pop Rock,Rock,10.35
