Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Primavera Sound Barcelona,June,6,1,USA,714.4
Primavera Sound Barcelona,June,6,2,BRA,162.9
Primavera Sound Barcelona,June,6,3,MEX,147.4
Primavera Sound Barcelona,June,6,4,ARG,117.2
Primavera Sound Barcelona,June,6,5,GBR,101.7
Primavera Sound Barcelona,June,6,6,ESP,73.4
Primavera Sound Barcelona,June,6,7,COL,70.9
Primavera Sound Barcelona,June,6,8,ITA,55.1
Primavera Sound Barcelona,June,6,9,FRA,54.2
Primavera Sound Barcelona,June,6,10,CHL,53.4
