Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Artist_Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Doja Cat,USA,61,34,34,Pop,Mainstream Pop,3 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Gorillaz,GBR,111,9,5,Rock,Alternative Rock,1 Festival
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",PinkPantheress,GBR,178,87,10,Pop,Indie Pop,9 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Skrillex,USA,313,13,1,Electronic,Dubstep,9 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Addison Rae,USA,537,216,128,Pop,Mainstream Pop,8 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",The Cure,GBR,623,59,37,Rock,Alternative Rock,0 Festival
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",TV Girl,USA,660,255,39,Pop,Indie Pop,4 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Mac Demarco,USA,959,89,15,Rock,Indie Rock,0 Festival
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Bad Gyal,ESP,983,174,72,Latin,Reggaeton,11 Festivals
Primavera Sound Barcelona,2026,June,6,"Jun 4-6",Ravyn Lenae,USA,1240,55,72,R&B,Contemporary R&B,5 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Sabrina Carpenter,USA,19,15,14,Pop,Mainstream Pop,9 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Central Cee,GBR,163,23,11,Hip Hop,Alternative Hip Hop,6 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Charli XCX,GBR,245,112,75,Pop,Mainstream Pop,13 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Chappell Roan,USA,388,164,22,Pop,Indie Pop,22 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Beabadoobee,GBR,562,47,5,Rock,Indie Rock,8 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Troye Sivan,AUS,605,236,32,Pop,Indie Pop,1 Festival
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",YOASOBI,JPN,811,315,8,Pop,j-pop,0 Festival
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Yung Beef,ESP,2183,382,171,Hip Hop,Alternative Hip Hop,1 Festival
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Beach House,USA,2222,775,133,Pop,Indie Pop,3 Festivals
Primavera Sound Barcelona,2025,June,6,"Jun 5-7",Denzel Curry,USA,2289,405,173,Hip Hop,Trap,11 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Lana Del Rey,USA,31,21,20,Pop,Mainstream Pop,1 Festival
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",SZA,USA,89,1,9,R&B,Contemporary R&B,0 Festival
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Milo j,ARG,164,24,24,Hip Hop,Contemporary Hip Hop,2 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Charli XCX,GBR,245,112,75,Pop,Mainstream Pop,14 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Deftones,USA,438,6,5,Metal,Alternative Metal,21 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Rels B,ESP,446,81,31,Hip Hop,Alternative Hip Hop,5 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Mitski,JPN,600,55,35,Rock,Alternative Rock,0 Festival
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Troye Sivan,AUS,605,236,32,Pop,Indie Pop,2 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Disclosure,GBR,1134,40,44,Electronic,Dance,13 Festivals
Primavera Sound Barcelona,2024,June,6,"May 30-Jun 1",Kim Petras,USA,2458,854,445,Pop,Mainstream Pop,2 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Kendrick Lamar,USA,50,5,6,Hip Hop,Contemporary Hip Hop,3 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Calvin Harris,GBR,76,4,4,Electronic,Dance,4 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",ROSALÍA,ESP,160,79,13,Pop,Latin Pop,0 Festival
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Central Cee,GBR,163,23,11,Hip Hop,Alternative Hip Hop,7 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Halsey,USA,170,83,62,Pop,Mainstream Pop,3 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",PinkPantheress,GBR,178,87,10,Pop,Indie Pop,9 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Skrillex,USA,313,13,1,Electronic,Dubstep,9 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Tems,NGA,334,12,26,R&B,Contemporary R&B,6 Festivals
Primavera Sound Barcelona,2023,June,6,"Jun 1-3",Rema,NGA,399,5,6,African,Afrobeat,1 Festival
