Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Primavera Sound Barcelona,June,6,2025,Indie Pop,Pop,58.17
Primavera Sound Barcelona,June,6,2025,Mainstream Pop,Pop,86.01
Primavera Sound Barcelona,June,6,2025,Hyperpop,Pop,20.63
Primavera Sound Barcelona,June,6,2025,j-pop,Pop,9.82
Primavera Sound Barcelona,June,6,2025,Alternative Hip Hop,Hip Hop,24.63
Primavera Sound Barcelona,June,6,2025,Drill,Hip Hop,20.38
Primavera Sound Barcelona,June,6,2025,House,Electronic,7.16
Primavera Sound Barcelona,June,6,2025,Other Electronic Music,Electronic,6.13
Primavera Sound Barcelona,June,6,2025,Alternative Rock,Rock,24.82
Primavera Sound Barcelona,June,6,2025,Indie Rock,Rock,20.49
Primavera Sound Barcelona,June,6,2024,Indie Pop,Pop,85.29
Primavera Sound Barcelona,June,6,2024,Mainstream Pop,Pop,82.21
Primavera Sound Barcelona,June,6,2024,Hyperpop,Pop,21.46
Primavera Sound Barcelona,June,6,2024,Alternative Hip Hop,Hip Hop,14.29
Primavera Sound Barcelona,June,6,2024,Trap,Hip Hop,16.73
Primavera Sound Barcelona,June,6,2024,Contemporary Hip Hop,Hip Hop,12.79
Primavera Sound Barcelona,June,6,2024,House,Electronic,20.41
Primavera Sound Barcelona,June,6,2024,Contemporary R&B,R&B,53.32
Primavera Sound Barcelona,June,6,2024,Neo Soul,R&B,48.04
Primavera Sound Barcelona,June,6,2024,Alternative Rock,Rock,14.70
Primavera Sound Barcelona,June,6,2023,Indie Pop,Pop,35.82
Primavera Sound Barcelona,June,6,2023,Mainstream Pop,Pop,75.64
Primavera Sound Barcelona,June,6,2023,Alternative Hip Hop,Hip Hop,28.10
Primavera Sound Barcelona,June,6,2023,Trap,Hip Hop,26.00
Primavera Sound Barcelona,June,6,2023,Contemporary Hip Hop,Hip Hop,65.46
Primavera Sound Barcelona,June,6,2023,Drill,Hip Hop,20.38
Primavera Sound Barcelona,June,6,2023,Dance,Electronic,64.25
Primavera Sound Barcelona,June,6,2023,House,Electronic,13.55
Primavera Sound Barcelona,June,6,2023,Alternative Rock,Rock,32.76
Primavera Sound Barcelona,June,6,2023,Indie Rock,Rock,33.35
Primavera Sound Barcelona,June,6,2022,Indie Pop,Pop,115.16
Primavera Sound Barcelona,June,6,2022,Mainstream Pop,Pop,91.37
Primavera Sound Barcelona,June,6,2022,Dream Pop,Pop,25.69
Primavera Sound Barcelona,June,6,2022,Alternative Hip Hop,Hip Hop,86.85
Primavera Sound Barcelona,June,6,2022,Trap,Hip Hop,72.36
Primavera Sound Barcelona,June,6,2022,Contemporary Hip Hop,Hip Hop,25.74
Primavera Sound Barcelona,June,6,2022,Reggaeton,Latin,50.87
Primavera Sound Barcelona,June,6,2022,Contemporary R&B,R&B,58.20
Primavera Sound Barcelona,June,6,2022,Alternative Rock,Rock,39.28
Primavera Sound Barcelona,June,6,2022,Indie Rock,Rock,45.61
Primavera Sound Barcelona,June,6,2021,Indie Pop,Pop,53.59
Primavera Sound Barcelona,June,6,2021,Mainstream Pop,Pop,59.03
Primavera Sound Barcelona,June,6,2021,Alternative Hip Hop,Hip Hop,38.98
Primavera Sound Barcelona,June,6,2021,Trap,Hip Hop,31.74
Primavera Sound Barcelona,June,6,2021,Contemporary Hip Hop,Hip Hop,66.42
Primavera Sound Barcelona,June,6,2021,House,Electronic,25.59
Primavera Sound Barcelona,June,6,2021,Reggaeton,Latin,118.14
Primavera Sound Barcelona,June,6,2021,Contemporary R&B,R&B,44.66
Primavera Sound Barcelona,June,6,2021,Alternative Rock,Rock,27.50
Primavera Sound Barcelona,June,6,2021,Indie Rock,Rock,33.89
Primavera Sound Barcelona,June,6,2019,Latin Pop,Pop,58.29
Primavera Sound Barcelona,June,6,2019,Indie Pop,Pop,50.95
Primavera Sound Barcelona,June,6,2019,Mainstream Pop,Pop,106.06
Primavera Sound Barcelona,June,6,2019,Hyperpop,Pop,20.68
Primavera Sound Barcelona,June,6,2019,Trap,Hip Hop,24.50
Primavera Sound Barcelona,June,6,2019,Contemporary Hip Hop,Hip Hop,52.77
Primavera Sound Barcelona,June,6,2019,Reggaeton,Latin,53.30
Primavera Sound Barcelona,June,6,2019,Contemporary R&B,R&B,30.83
Primavera Sound Barcelona,June,6,2019,Neo Soul,R&B,25.41
Primavera Sound Barcelona,June,6,2019,Indie Rock,Rock,30.57
Primavera Sound Barcelona,June,6,2018,Indie Pop,Pop,99.50
Primavera Sound Barcelona,June,6,2018,Dream Pop,Pop,25.54
Primavera Sound Barcelona,June,6,2018,Alternative Hip Hop,Hip Hop,9.55
Primavera Sound Barcelona,June,6,2018,Contemporary Hip Hop,Hip Hop,43.01
Primavera Sound Barcelona,June,6,2018,House,Electronic,7.21
Primavera Sound Barcelona,June,6,2018,Downtempo,Electronic,7.78
Primavera Sound Barcelona,June,6,2018,Other Electronic Music,Electronic,7.46
Primavera Sound Barcelona,June,6,2018,Reggaeton,Latin,6.89
Primavera Sound Barcelona,June,6,2018,Contemporary R&B,R&B,28.70
Primavera Sound Barcelona,June,6,2018,Indie Rock,Rock,33.01
