Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Stray Kids,KOR,32,22,Pop,4,K-Pop,0
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Maroon 5,USA,47,28,Pop,26,Mainstream Pop,1
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Demi Lovato,USA,97,51,Pop,44,Mainstream Pop,0
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Elton John,GBR,217,100,Pop,71,Mainstream Pop,0
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,João Gomes,BRA,472,87,Latin,3,Forró,5
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Mumford & Sons,GBR,807,73,Rock,4,Folk Rock,4
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Jamiroquai,GBR,1303,60,R&B,5,Funk,0
Rock in Rio Brazil,2026,September,9,Sep 4-7 & Sep 11-13 2026,Gilberto Gil,BRA,2220,387,Latin,83,Other Latin Music,0
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Ed Sheeran,GBR,13,10,Pop,10,Mainstream Pop,3
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Karol G,COL,16,2,Latin,2,Reggaeton,1
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Katy Perry,USA,23,19,Pop,17,Mainstream Pop,1
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Imagine Dragons,USA,45,4,Rock,4,Pop Rock,4
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Travis Scott,USA,46,4,Hip Hop,5,Contemporary Hip Hop,3
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Zara Larsson,SWE,55,32,Pop,31,Mainstream Pop,0
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Shawn Mendes,CAN,73,41,Pop,38,Mainstream Pop,6
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Karan Aujla,CAN,91,47,Pop,4,Indian Pop,0
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Charlie Puth,USA,94,49,Pop,43,Mainstream Pop,1
Rock in Rio Brazil,2024,September,9,Sep 13-22 2024,Akon,USA,100,2,R&B,11,Contemporary R&B,0
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Justin Bieber,CAN,4,3,Pop,2,Mainstream Pop,1
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Coldplay,GBR,28,1,Rock,1,Pop Rock,0
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Dua Lipa,GBR,42,26,Pop,24,Mainstream Pop,2
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Camila Cabello,USA,50,30,Pop,28,Mainstream Pop,7
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Jason Derulo,USA,56,33,Pop,32,Mainstream Pop,6
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Marshmello,USA,62,2,Electronic,2,Dance,9
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Demi Lovato,USA,97,51,Pop,44,Mainstream Pop,0
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Guns N' Roses,USA,106,7,Rock,3,Hard Rock,6
Rock in Rio Brazil,2022,September,9,Sep 2-11 2022,Megan Thee Stallion,USA,142,21,Hip Hop,9,Alternative Hip Hop,1
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Megadeth,USA,421,6,Metal,2,Thrash Metal,4
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Iron Maiden,GBR,698,13,Metal,7,Heavy Metal,3
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Sepultura,BRA,3183,36,Metal,5,Thrash Metal,6
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Dream Theater,USA,3628,40,Metal,3,Progressive Metal,17
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Steve Vai,USA,6722,642,Rock,29,Progressive Rock,0
Rock in Rio Brazil,2021,September/October,9,Sep 24 - Oct 3 2021,Living Colour,USA,11955,1090,Rock,533,Alternative Rock,1
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Drake,CAN,5,1,Hip Hop,1,Contemporary Hip Hop,1
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Imagine Dragons,USA,45,4,Rock,4,Pop Rock,4
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Charlie Puth,USA,94,49,Pop,43,Mainstream Pop,1
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,P!nk,USA,117,57,Pop,48,Mainstream Pop,0
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Red Hot Chili Peppers,USA,120,10,Rock,1,Funk Rock,0
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Black Eyed Peas,USA,125,60,Pop,50,Mainstream Pop,5
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Anitta,BRA,140,70,Pop,10,Latin Pop,3
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Bon Jovi,USA,196,15,Rock,10,Pop Rock,0
Rock in Rio Brazil,2019,September/October,9,Sep 27 - Oct 6 2019,Alok,BRA,283,12,Electronic,13,Dance,18
