Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Rock in Rio Brazil,September,9,1,BRA,2.6,448.2
Rock in Rio Brazil,September,9,2,USA,1.2,157.7
Rock in Rio Brazil,September,9,3,IND,0.45,37.7
Rock in Rio Brazil,September,9,4,MEX,0.34,45.3
Rock in Rio Brazil,September,9,5,IDN,0.19,39.2
Rock in Rio Brazil,September,9,6,PHL,0.19,23.7
Rock in Rio Brazil,September,9,7,ARG,0.17,11.3
Rock in Rio Brazil,September,9,8,GBR,0.17,35.7
Rock in Rio Brazil,September,9,9,CAN,0.13,36.3
Rock in Rio Brazil,September,9,10,FRA,0.12,10.0
