Festival,Festival_Month,Festival_Month_Num,Rank,Country,Alltime_Audience_M
Rolling Loud California,March,3,1,USA,1200.0
Rolling Loud California,March,3,2,BRA,92.6
Rolling Loud California,March,3,3,MEX,72.0
Rolling Loud California,March,3,4,GBR,69.8
Rolling Loud California,March,3,5,CAN,48.1
Rolling Loud California,March,3,6,IND,43.2
Rolling Loud California,March,3,7,NGA,41.2
Rolling Loud California,March,3,8,ZAF,39.1
Rolling Loud California,March,3,9,FRA,38.2
Rolling Loud California,March,3,10,ITA,28.7
