Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Rolling Loud California,2025,March,3,Mar 14-16 2025,Peso Pluma,MEX,29,6,Latin,1,Regional Mexican Music,5
Rolling Loud California,2025,March,3,Mar 14-16 2025,A$AP Rocky,USA,175,27,Hip Hop,26,Contemporary Hip Hop,8
Rolling Loud California,2025,March,3,Mar 14-16 2025,Playboi Carti,USA,245,40,Hip Hop,25,Trap,1
Rolling Loud California,2025,March,3,Mar 14-16 2025,La Santa Grifa,MEX,354,59,Hip Hop,47,Contemporary Hip Hop,0
Rolling Loud California,2025,March,3,Mar 14-16 2025,Quavo,USA,528,99,Hip Hop,48,Trap,3
Rolling Loud California,2025,March,3,Mar 14-16 2025,YG,USA,995,167,Hip Hop,117,Contemporary Hip Hop,0
Rolling Loud California,2025,March,3,Mar 14-16 2025,Sexyy Red,USA,1169,194,Hip Hop,140,Contemporary Hip Hop,5
Rolling Loud California,2025,March,3,Mar 14-16 2025,BossMan Dlow,USA,1434,238,Hip Hop,165,Contemporary Hip Hop,5
Rolling Loud California,2025,March,3,Mar 14-16 2025,Tee Grizzley,USA,1625,273,Hip Hop,188,Contemporary Hip Hop,1
Rolling Loud California,2025,March,3,Mar 14-16 2025,Ken Carson,USA,2093,367,Hip Hop,158,Trap,9
Rolling Loud California,2024,March,3,Mar 15-17 2024,Fuerza Regida,MEX,30,7,Latin,2,Regional Mexican Music,1
Rolling Loud California,2024,March,3,Mar 15-17 2024,Nicki Minaj,USA,41,3,Hip Hop,4,Contemporary Hip Hop,0
Rolling Loud California,2024,March,3,Mar 15-17 2024,Kanye West,USA,51,6,Hip Hop,7,Contemporary Hip Hop,1
Rolling Loud California,2024,March,3,Mar 15-17 2024,Post Malone,USA,54,7,Hip Hop,2,Alternative Hip Hop,12
Rolling Loud California,2024,March,3,Mar 15-17 2024,Future,USA,63,10,Hip Hop,2,Trap,4
Rolling Loud California,2024,March,3,Mar 15-17 2024,Junior H,MEX,112,22,Latin,4,Regional Mexican Music,1
Rolling Loud California,2024,March,3,Mar 15-17 2024,Don Toliver,USA,116,20,Hip Hop,10,Trap,5
Rolling Loud California,2024,March,3,Mar 15-17 2024,Lil Uzi Vert,USA,169,25,Hip Hop,15,Trap,0
Rolling Loud California,2024,March,3,Mar 15-17 2024,Tyga,USA,206,31,Hip Hop,29,Contemporary Hip Hop,2
Rolling Loud California,2024,March,3,Mar 15-17 2024,Natanael Cano,MEX,219,46,Latin,12,Regional Mexican Music,1
Rolling Loud California,2023,March,3,Mar 03-05 2023,Travis Scott,USA,49,5,Hip Hop,6,Contemporary Hip Hop,3
Rolling Loud California,2023,March,3,Mar 03-05 2023,Future,USA,63,10,Hip Hop,2,Trap,4
Rolling Loud California,2023,March,3,Mar 03-05 2023,Lil Wayne,USA,81,14,Hip Hop,15,Contemporary Hip Hop,1
Rolling Loud California,2023,March,3,Mar 03-05 2023,Lil Baby,USA,106,18,Hip Hop,8,Trap,3
Rolling Loud California,2023,March,3,Mar 03-05 2023,Don Toliver,USA,116,20,Hip Hop,10,Trap,5
Rolling Loud California,2023,March,3,Mar 03-05 2023,Central Cee,GBR,156,23,Hip Hop,11,Alternative Hip Hop,7
Rolling Loud California,2023,March,3,Mar 03-05 2023,Lil Uzi Vert,USA,169,25,Hip Hop,15,Trap,0
Rolling Loud California,2023,March,3,Mar 03-05 2023,Tyga,USA,206,31,Hip Hop,29,Contemporary Hip Hop,2
Rolling Loud California,2023,March,3,Mar 03-05 2023,DaBaby,USA,214,32,Hip Hop,30,Contemporary Hip Hop,0
Rolling Loud California,2023,March,3,Mar 03-05 2023,Playboi Carti,USA,245,40,Hip Hop,25,Trap,1
