Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Rolling Loud California,March,3,1,USA,2.6,418.8
Rolling Loud California,March,3,2,MEX,0.8877,111.3
Rolling Loud California,March,3,3,GBR,0.123,31.3
Rolling Loud California,March,3,4,BRA,0.1193,14.4
Rolling Loud California,March,3,5,ZAF,0.1137,7.0
Rolling Loud California,March,3,6,IND,0.1118,3.9
Rolling Loud California,March,3,7,CAN,0.110,46.8
Rolling Loud California,March,3,8,GTM,0.0761,4.2
Rolling Loud California,March,3,9,PHL,0.0591,8.9
Rolling Loud California,March,3,10,AUS,0.0536,63.7
