Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Rolling Loud California,2025,March,3,Contemporary Hip Hop,Hip Hop,76.48
Rolling Loud California,2025,March,3,Trap,Hip Hop,51.20
Rolling Loud California,2025,March,3,Alternative Hip Hop,Hip Hop,50.89
Rolling Loud California,2025,March,3,Regional Mexican Music,Latin,20.38
Rolling Loud California,2025,March,3,Corrido,Latin,20.38
Rolling Loud California,2025,March,3,Drill,Hip Hop,5.28
Rolling Loud California,2025,March,3,Underground Hip Hop,Hip Hop,2.54
Rolling Loud California,2025,March,3,Contemporary R&B,R&B,2.18
Rolling Loud California,2025,March,3,Mainstream Pop,Pop,3.93
Rolling Loud California,2025,March,3,Punk Rock,Punk,1.71
Rolling Loud California,2024,March,3,Contemporary Hip Hop,Hip Hop,196.46
Rolling Loud California,2024,March,3,Trap,Hip Hop,163.04
Rolling Loud California,2024,March,3,Alternative Hip Hop,Hip Hop,152.95
Rolling Loud California,2024,March,3,Regional Mexican Music,Latin,93.65
Rolling Loud California,2024,March,3,Corrido,Latin,93.65
Rolling Loud California,2024,March,3,Contemporary R&B,R&B,52.17
Rolling Loud California,2024,March,3,Mainstream Pop,Pop,96.07
Rolling Loud California,2024,March,3,Drill,Hip Hop,9.45
Rolling Loud California,2024,March,3,Underground Hip Hop,Hip Hop,0.70
Rolling Loud California,2024,March,3,Alternative R&B,R&B,0.70
Rolling Loud California,2023,March,3,Trap,Hip Hop,302.80
Rolling Loud California,2023,March,3,Contemporary Hip Hop,Hip Hop,223.40
Rolling Loud California,2023,March,3,Alternative Hip Hop,Hip Hop,144.19
Rolling Loud California,2023,March,3,Drill,Hip Hop,46.37
Rolling Loud California,2023,March,3,Dancehall,Reggae,9.82
Rolling Loud California,2023,March,3,Mainstream Pop,Pop,3.80
Rolling Loud California,2023,March,3,Contemporary R&B,R&B,1.00
Rolling Loud California,2023,March,3,Phonk,Hip Hop,1.32
Rolling Loud California,2023,March,3,Underground Hip Hop,Hip Hop,0.39
Rolling Loud California,2023,March,3,Grime,Hip Hop,0.08
