Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Roskilde Festival,June,6,1,USA,1.3,286.5
Roskilde Festival,June,6,2,BRA,0.2666,44.1
Roskilde Festival,June,6,3,MEX,0.2243,36.0
Roskilde Festival,June,6,4,GBR,0.1758,68.5
Roskilde Festival,June,6,5,IND,0.1602,7.3
Roskilde Festival,June,6,6,PHL,0.1214,20.0
Roskilde Festival,June,6,7,FRA,0.1045,13.4
Roskilde Festival,June,6,8,ARG,0.1031,7.0
Roskilde Festival,June,6,9,CAN,0.0992,41.8
Roskilde Festival,June,6,10,IDN,0.0946,28.5
