Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Viberate_Rank_Overall,Viberate_Rank_Genre,Viberate_Rank_Subgenre,Genre,Subgenre,Festival_Performances_Last_12M,Notes
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Laufey,USA,132,1,1,Jazz,Smooth Jazz,2 Festivals,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",OneRepublic,USA,181,88,64,Pop,Mainstream Pop,1 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Major Lazer,JAM,324,14,14,Electronic,Dance,5 Festivals,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Madison Beer,USA,475,196,119,Pop,Mainstream Pop,0 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Måneskin,ITA,515,39,22,Rock,Alternative Rock,0 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",RIIZE,KOR,723,277,43,Pop,k-pop,5 Festivals,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",NCT DREAM,KOR,743,286,44,Pop,k-pop,0 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Lil Yachty,USA,769,137,68,Hip Hop,Trap,1 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",Stephen Sanchez,USA,1619,586,97,Pop,Indie Pop,1 Festival,
Summer Sonic Tokyo,2024,August,8,"Aug 17-18",AKMU,KOR,2088,729,71,Pop,k-pop,0 Festival,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Kendrick Lamar,USA,50,5,6,Hip Hop,Contemporary Hip Hop,3 Festivals,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",ENHYPEN,KOR,64,35,7,Pop,k-pop,0 Festival,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Camilo,COL,200,94,20,Pop,Latin Pop,3 Festivals,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Evanescence,USA,342,24,14,Rock,Alternative Rock,3 Festivals,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",The Kid LAROI,AUS,451,188,115,Pop,Mainstream Pop,1 Festival,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Fall Out Boy,USA,455,34,20,Rock,Alternative Rock,4 Festivals,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",NewJeans,KOR,500,206,35,Pop,k-pop,0 Festival,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",LANY,USA,512,209,27,Pop,Indie Pop,4 Festivals,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Niall Horan,IRL,590,232,133,Pop,Mainstream Pop,0 Festival,
Summer Sonic Tokyo,2023,August,8,"Aug 19-20",Jacob Collier,GBR,668,30,45,R&B,Contemporary R&B,14 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Megan Thee Stallion,USA,145,21,10,Hip Hop,Alternative Hip Hop,1 Festival,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",TOMORROW X TOGETHER,KOR,188,91,18,Pop,k-pop,0 Festival,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Mrs. Green Apple,JPN,429,181,2,Pop,j-pop,2 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",The Offspring,USA,510,3,2,Punk,Punk Rock,5 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Måneskin,ITA,515,39,22,Rock,Alternative Rock,0 Festival,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Beabadoobee,GBR,562,47,5,Rock,Indie Rock,9 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",YUNGBLUD,GBR,675,60,38,Rock,Alternative Rock,10 Festivals,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",The 1975,GBR,767,67,10,Rock,Indie Rock,1 Festival,
Summer Sonic Tokyo,2022,August,8,"Aug 20-21",Carly Rae Jepsen,CAN,921,356,188,Pop,Mainstream Pop,0 Festival,
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Clean Bandit,GBR,445,184,114,Pop,Mainstream Pop,16 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Kygo,NOR,452,17,18,Electronic,Dance,15 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Zedd,USA,573,18,21,Electronic,Dance,19 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",AURORA,NOR,752,291,44,Pop,Indie Pop,10 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",R3hab,NLD,1409,50,51,Electronic,Dance,11 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Nicky Romero,NLD,2621,106,21,Electronic,House,10 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",NiziU,JPN,2646,905,35,Pop,j-pop,3 Festivals,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2021,August,8,"Sep 18-19",Perfume,JPN,7396,2488,118,Pop,j-pop,0 Festival,Supersonic 2021 (COVID replacement event)
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Post Malone,USA,54,7,2,Hip Hop,Alternative Hip Hop,12 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Skrillex,USA,313,13,1,Electronic,Dubstep,9 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Dominic Fike,USA,382,162,21,Pop,Indie Pop,5 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Kygo,NOR,452,17,18,Electronic,Dance,15 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Conan Gray,USA,468,194,25,Pop,Indie Pop,6 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Beabadoobee,GBR,562,47,5,Rock,Indie Rock,9 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",AURORA,NOR,752,291,44,Pop,Indie Pop,10 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",The 1975,GBR,767,67,10,Rock,Indie Rock,1 Festival,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Steve Aoki,USA,999,34,38,Electronic,Dance,20 Festivals,COVID-19 cancellation
Summer Sonic Tokyo,2020,August,8,"Aug (cancelled)",Alec Benjamin,USA,1108,417,224,Pop,Mainstream Pop,0 Festival,COVID-19 cancellation
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",BLACKPINK,KOR,20,16,3,Pop,k-pop,1 Festival,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Alan Walker,NOR,72,3,3,Electronic,Dance,15 Festivals,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Red Hot Chili Peppers,USA,120,10,1,Rock,Funk Rock,0 Festival,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",The Chainsmokers,USA,126,5,5,Electronic,Dance,13 Festivals,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Machine Gun Kelly,USA,467,85,66,Hip Hop,Contemporary Hip Hop,0 Festival,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Bring Me the Horizon,GBR,567,11,1,Metal,Metalcore/Deathcore,10 Festivals,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Weezer,USA,568,49,30,Rock,Alternative Rock,23 Festivals,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Zedd,USA,573,18,21,Electronic,Dance,19 Festivals,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",The 1975,GBR,767,67,10,Rock,Indie Rock,1 Festival,
Summer Sonic Tokyo,2019,August,8,"Aug 16-18",Rita Ora,GBR,800,309,166,Pop,Mainstream Pop,4 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Billie Eilish,USA,8,6,6,Pop,Mainstream Pop,0 Festival,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",J Balvin,COL,25,4,4,Latin,Reggaeton,10 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Marshmello,USA,63,2,2,Electronic,Dance,9 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Shawn Mendes,CAN,74,41,38,Pop,Mainstream Pop,6 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Tame Impala,AUS,144,13,1,Rock,Psychedelic Rock,1 Festival,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Nickelback,CAN,374,27,16,Rock,Alternative Rock,5 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Paramore,USA,393,29,19,Rock,Alternative Rock,0 Festival,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Alessia Cara,CAN,700,269,148,Pop,Mainstream Pop,4 Festivals,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",back number,JPN,810,314,7,Pop,j-pop,0 Festival,
Summer Sonic Tokyo,2018,August,8,"Aug 18-19",Chance The Rapper,USA,824,148,104,Hip Hop,Contemporary Hip Hop,2 Festivals,
