Festival,Festival_Month,Festival_Month_Num,Year,Subgenre,Parent_Genre,Points
Summer Sonic Tokyo,August,8,2024,Indie Pop,Pop,32.41
Summer Sonic Tokyo,August,8,2024,Mainstream Pop,Pop,39.31
Summer Sonic Tokyo,August,8,2024,k-pop,Pop,11.04
Summer Sonic Tokyo,August,8,2024,Trap,Hip Hop,9.92
Summer Sonic Tokyo,August,8,2024,Dance,Electronic,9.82
Summer Sonic Tokyo,August,8,2024,Alternative Rock,Rock,13.17
Summer Sonic Tokyo,August,8,2024,Indie Rock,Rock,11.83
Summer Sonic Tokyo,August,8,2024,Pop Rock,Rock,22.09
Summer Sonic Tokyo,August,8,2024,Smooth Jazz,Jazz,20.38
Summer Sonic Tokyo,August,8,2024,Moombahton,Reggae,9.82
Summer Sonic Tokyo,August,8,2023,Latin Pop,Pop,20.38
Summer Sonic Tokyo,August,8,2023,Indie Pop,Pop,20.50
Summer Sonic Tokyo,August,8,2023,Mainstream Pop,Pop,37.67
Summer Sonic Tokyo,August,8,2023,j-pop,Pop,25.53
Summer Sonic Tokyo,August,8,2023,k-pop,Pop,40.03
Summer Sonic Tokyo,August,8,2023,Alternative Hip Hop,Hip Hop,11.85
Summer Sonic Tokyo,August,8,2023,Contemporary Hip Hop,Hip Hop,50.72
Summer Sonic Tokyo,August,8,2023,Alternative Rock,Rock,28.49
Summer Sonic Tokyo,August,8,2023,Pop Rock,Rock,11.59
Summer Sonic Tokyo,August,8,2023,Alternative Metal,Metal,14.68
Summer Sonic Tokyo,August,8,2022,Indie Pop,Pop,14.76
Summer Sonic Tokyo,August,8,2022,Mainstream Pop,Pop,60.59
Summer Sonic Tokyo,August,8,2022,j-pop,Pop,30.55
Summer Sonic Tokyo,August,8,2022,k-pop,Pop,21.70
Summer Sonic Tokyo,August,8,2022,Alternative Hip Hop,Hip Hop,70.90
Summer Sonic Tokyo,August,8,2022,Trap,Hip Hop,20.38
Summer Sonic Tokyo,August,8,2022,Alternative Rock,Rock,35.96
Summer Sonic Tokyo,August,8,2022,Indie Rock,Rock,38.65
Summer Sonic Tokyo,August,8,2022,Pop Rock,Rock,26.30
Summer Sonic Tokyo,August,8,2022,Punk Rock,Punk,10.66
Summer Sonic Tokyo,August,8,2021,Indie Pop,Pop,9.82
Summer Sonic Tokyo,August,8,2021,Mainstream Pop,Pop,29.46
Summer Sonic Tokyo,August,8,2021,j-pop,Pop,4.28
Summer Sonic Tokyo,August,8,2021,Contemporary Hip Hop,Hip Hop,0.08
Summer Sonic Tokyo,August,8,2021,j-rap,Hip Hop,0.39
Summer Sonic Tokyo,August,8,2021,Dance,Electronic,63.28
Summer Sonic Tokyo,August,8,2021,House,Electronic,4.94
Summer Sonic Tokyo,August,8,2021,Other Electronic Music,Electronic,0.22
Summer Sonic Tokyo,August,8,2021,Electro House,Electronic,25.24
Summer Sonic Tokyo,August,8,2020,Indie Pop,Pop,44.66
Summer Sonic Tokyo,August,8,2020,Mainstream Pop,Pop,72.44
Summer Sonic Tokyo,August,8,2020,Alternative Hip Hop,Hip Hop,48.03
Summer Sonic Tokyo,August,8,2020,Contemporary Hip Hop,Hip Hop,9.72
Summer Sonic Tokyo,August,8,2020,Dance,Electronic,22.25
Summer Sonic Tokyo,August,8,2020,Dubstep,Electronic,9.82
Summer Sonic Tokyo,August,8,2020,Trap/Future Bass,Electronic,9.82
Summer Sonic Tokyo,August,8,2020,Alternative Rock,Rock,6.54
Summer Sonic Tokyo,August,8,2020,Indie Rock,Rock,16.88
Summer Sonic Tokyo,August,8,2020,Pop Rock,Rock,9.72
Summer Sonic Tokyo,August,8,2019,Mainstream Pop,Pop,43.48
Summer Sonic Tokyo,August,8,2019,k-pop,Pop,48.03
Summer Sonic Tokyo,August,8,2019,Trap,Hip Hop,10.04
Summer Sonic Tokyo,August,8,2019,Dance,Electronic,71.55
Summer Sonic Tokyo,August,8,2019,House,Electronic,17.17
Summer Sonic Tokyo,August,8,2019,Electro House,Electronic,20.38
Summer Sonic Tokyo,August,8,2019,Alternative Rock,Rock,56.11
Summer Sonic Tokyo,August,8,2019,Indie Rock,Rock,18.00
Summer Sonic Tokyo,August,8,2019,Funk Rock,Rock,20.38
Summer Sonic Tokyo,August,8,2019,Pop Rock,Rock,30.02
Summer Sonic Tokyo,August,8,2018,Latin Pop,Pop,48.03
Summer Sonic Tokyo,August,8,2018,Indie Pop,Pop,122.87
Summer Sonic Tokyo,August,8,2018,Mainstream Pop,Pop,164.55
Summer Sonic Tokyo,August,8,2018,Dance,Electronic,49.76
Summer Sonic Tokyo,August,8,2018,Reggaeton,Latin,48.03
Summer Sonic Tokyo,August,8,2018,Contemporary R&B,R&B,16.09
Summer Sonic Tokyo,August,8,2018,Alternative Rock,Rock,37.23
Summer Sonic Tokyo,August,8,2018,Indie Rock,Rock,10.78
Summer Sonic Tokyo,August,8,2018,Psychedelic Rock,Rock,9.84
Summer Sonic Tokyo,August,8,2018,Pop Rock,Rock,20.43
