Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Myke Towers,PRI,72,13,Latin,9,Reggaeton,6
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Guns N' Roses,USA,107,7,Rock,3,Hard Rock,5
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Omar Courtz,PRI,150,28,Latin,18,Reggaeton,9
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Halsey,USA,172,84,Pop,63,Mainstream Pop,2
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,La Arrolladora Banda El Limon,MEX,192,40,Latin,8,Regional Mexican Music,0
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Grupo Frontera,USA,199,43,Latin,9,Regional Mexican Music,2
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Tyler the Creator,USA,201,29,Hip Hop,27,Contemporary Hip Hop,12
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Morat,COL,311,138,Pop,37,Latin Pop,5
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Djo,USA,419,30,Rock,3,Psychedelic Rock,9
Tecate Pa'l Norte,2026,March,3,Mar 27-29 2026,Deftones,USA,444,7,Metal,5,Alternative Metal,20
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Olivia Rodrigo,USA,40,25,Pop,22,Mainstream Pop,14
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Tito Double P,MEX,88,18,Latin,3,Regional Mexican Music,2
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Justin Timberlake,USA,99,52,Pop,46,Mainstream Pop,13
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,The Chainsmokers,USA,124,5,Electronic,5,Dance,13
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,SEVENTEEN,KOR,149,74,Pop,14,k-pop,0
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Green Day,USA,167,1,Punk,1,Punk Rock,18
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Mon Laferte,CHL,205,95,Pop,22,Latin Pop,7
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Charli XCX,GBR,243,112,Pop,76,Mainstream Pop,14
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Cris MJ,CHL,262,52,Latin,30,Reggaeton,3
Tecate Pa'l Norte,2025,April,4,Apr 04-06 2025,Benson Boone,USA,291,130,Pop,83,Mainstream Pop,11
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Peso Pluma,MEX,29,6,Latin,1,Regional Mexican Music,5
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Fuerza Regida,MEX,30,7,Latin,2,Regional Mexican Music,1
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Imagine Dragons,USA,45,4,Rock,4,Pop Rock,4
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Kendrick Lamar,USA,48,4,Hip Hop,5,Contemporary Hip Hop,3
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Anitta,BRA,140,70,Pop,10,Latin Pop,3
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Mana,MEX,223,17,Rock,11,Pop Rock,2
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Alok,BRA,275,11,Electronic,12,Dance,18
Tecate Pa'l Norte,2024,March,3,Mar 29-31 2024,Kenia Os,MEX,344,152,Pop,40,Latin Pop,0
