Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Tecate Pa'l Norte,March,3,1,MEX,3.5,720.9
Tecate Pa'l Norte,March,3,2,USA,1.8,180.4
Tecate Pa'l Norte,March,3,3,ARG,0.970,73.4
Tecate Pa'l Norte,March,3,4,COL,0.7345,102.3
Tecate Pa'l Norte,March,3,5,PER,0.435,44.3
Tecate Pa'l Norte,March,3,6,CHL,0.4341,81.6
Tecate Pa'l Norte,March,3,7,ESP,0.3297,87.5
Tecate Pa'l Norte,March,3,8,GTM,0.3101,31.5
Tecate Pa'l Norte,March,3,9,ECU,0.2781,23.7
Tecate Pa'l Norte,March,3,10,BRA,0.2137,31.2
