Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Tecate Pa'l Norte,2025,April,4,Mainstream Pop,Pop,166.20
Tecate Pa'l Norte,2025,April,4,Indie Pop,Pop,96.45
Tecate Pa'l Norte,2025,April,4,Latin Pop,Pop,84.03
Tecate Pa'l Norte,2025,April,4,Alternative Rock,Rock,53.81
Tecate Pa'l Norte,2025,April,4,Pop Rock,Rock,70.92
Tecate Pa'l Norte,2025,April,4,Indie Rock,Rock,26.00
Tecate Pa'l Norte,2025,April,4,Reggaeton,Latin,43.79
Tecate Pa'l Norte,2025,April,4,Regional Mexican Music,Latin,36.96
Tecate Pa'l Norte,2025,April,4,Corrido,Latin,23.57
Tecate Pa'l Norte,2025,April,4,Dance,Electronic,41.11
Tecate Pa'l Norte,2024,March,3,Regional Mexican Music,Latin,96.69
Tecate Pa'l Norte,2024,March,3,Corrido,Latin,88.89
Tecate Pa'l Norte,2024,March,3,Contemporary Hip Hop,Hip Hop,87.24
Tecate Pa'l Norte,2024,March,3,Alternative Rock,Rock,91.27
Tecate Pa'l Norte,2024,March,3,Pop Rock,Rock,64.41
Tecate Pa'l Norte,2024,March,3,Reggaeton,Latin,55.65
Tecate Pa'l Norte,2024,March,3,Latin Pop,Pop,68.85
Tecate Pa'l Norte,2024,March,3,Indie Pop,Pop,47.53
Tecate Pa'l Norte,2024,March,3,Mainstream Pop,Pop,32.05
Tecate Pa'l Norte,2024,March,3,Dance,Electronic,41.40
Tecate Pa'l Norte,2023,March,3,Indie Pop,Pop,121.35
Tecate Pa'l Norte,2023,March,3,Mainstream Pop,Pop,113.75
Tecate Pa'l Norte,2023,March,3,Latin Pop,Pop,102.40
Tecate Pa'l Norte,2023,March,3,Reggaeton,Latin,106.78
Tecate Pa'l Norte,2023,March,3,Regional Mexican Music,Latin,49.53
Tecate Pa'l Norte,2023,March,3,Corrido,Latin,24.18
Tecate Pa'l Norte,2023,March,3,Contemporary Hip Hop,Hip Hop,35.88
Tecate Pa'l Norte,2023,March,3,Trap,Hip Hop,35.36
Tecate Pa'l Norte,2023,March,3,Alternative Rock,Rock,29.48
Tecate Pa'l Norte,2023,March,3,Pop Rock,Rock,43.78
Tecate Pa'l Norte,2022,April,4,Mainstream Pop,Pop,75.89
Tecate Pa'l Norte,2022,April,4,Latin Pop,Pop,55.59
Tecate Pa'l Norte,2022,April,4,Reggaeton,Latin,77.87
Tecate Pa'l Norte,2022,April,4,Regional Mexican Music,Latin,24.61
Tecate Pa'l Norte,2022,April,4,Other Latin Music,Latin,23.69
Tecate Pa'l Norte,2022,April,4,Corrido,Latin,20.38
Tecate Pa'l Norte,2022,April,4,Trap,Hip Hop,54.56
Tecate Pa'l Norte,2022,April,4,Alternative Hip Hop,Hip Hop,25.42
Tecate Pa'l Norte,2022,April,4,Dance,Electronic,38.30
Tecate Pa'l Norte,2022,April,4,Pop Rock,Rock,64.61
Tecate Pa'l Norte,2021,November,11,Latin Pop,Pop,63.69
Tecate Pa'l Norte,2021,November,11,Indie Pop,Pop,29.20
Tecate Pa'l Norte,2021,November,11,Reggaeton,Latin,30.72
Tecate Pa'l Norte,2021,November,11,Regional Mexican Music,Latin,13.09
Tecate Pa'l Norte,2021,November,11,Latin alternative,Latin,20.51
Tecate Pa'l Norte,2021,November,11,Contemporary Hip Hop,Hip Hop,12.83
Tecate Pa'l Norte,2021,November,11,Alternative Rock,Rock,13.38
Tecate Pa'l Norte,2021,November,11,Indie Rock,Rock,12.44
Tecate Pa'l Norte,2021,November,11,Psychedelic Rock,Rock,12.30
Tecate Pa'l Norte,2021,November,11,Pop Rock,Rock,11.37
Tecate Pa'l Norte,2019,March,3,Reggaeton,Latin,68.41
Tecate Pa'l Norte,2019,March,3,Latin Pop,Pop,49.82
Tecate Pa'l Norte,2019,March,3,Indie Pop,Pop,31.63
Tecate Pa'l Norte,2019,March,3,Indie Rock,Rock,45.84
Tecate Pa'l Norte,2019,March,3,Alternative Rock,Rock,39.48
Tecate Pa'l Norte,2019,March,3,Pop Rock,Rock,21.79
Tecate Pa'l Norte,2019,March,3,Dance,Electronic,29.86
Tecate Pa'l Norte,2019,March,3,Electro House,Electronic,20.38
Tecate Pa'l Norte,2019,March,3,Contemporary Hip Hop,Hip Hop,13.02
Tecate Pa'l Norte,2019,March,3,Mainstream Pop,Pop,9.84
Tecate Pa'l Norte,2018,April,4,Latin Pop,Pop,47.42
Tecate Pa'l Norte,2018,April,4,Reggaeton,Latin,41.15
Tecate Pa'l Norte,2018,April,4,Alternative Rock,Rock,36.16
Tecate Pa'l Norte,2018,April,4,Pop Rock,Rock,17.32
Tecate Pa'l Norte,2018,April,4,Indie Rock,Rock,11.44
Tecate Pa'l Norte,2018,April,4,Stoner Rock,Rock,4.86
Tecate Pa'l Norte,2018,April,4,Indie Pop,Pop,10.14
Tecate Pa'l Norte,2018,April,4,Other Latin Music,Latin,4.86
Tecate Pa'l Norte,2018,April,4,Dance,Electronic,10.81
Tecate Pa'l Norte,2018,April,4,House,Electronic,5.39
