Festival,Year,Festival_Month,Festival_Month_Num,Subgenre,Parent_Genre,Points
Tomorrowland,2025,July,7,Dance,Electronic,256.40
Tomorrowland,2025,July,7,Mainstream Pop,Pop,104.61
Tomorrowland,2025,July,7,House,Electronic,56.27
Tomorrowland,2025,July,7,Techno,Electronic,28.18
Tomorrowland,2025,July,7,Tech House,Electronic,19.17
Tomorrowland,2025,July,7,Deep House,Electronic,16.90
Tomorrowland,2025,July,7,Melodic Techno,Electronic,16.56
Tomorrowland,2025,July,7,Trance,Electronic,11.65
Tomorrowland,2025,July,7,Afro House,Electronic,9.78
Tomorrowland,2025,July,7,Drum & Bass,Electronic,7.19
Tomorrowland,2024,July,7,Dance,Electronic,264.33
Tomorrowland,2024,July,7,Mainstream Pop,Pop,92.78
Tomorrowland,2024,July,7,House,Electronic,85.88
Tomorrowland,2024,July,7,Techno,Electronic,21.93
Tomorrowland,2024,July,7,Tech House,Electronic,21.45
Tomorrowland,2024,July,7,Deep House,Electronic,19.93
Tomorrowland,2024,July,7,Melodic Techno,Electronic,17.44
Tomorrowland,2024,July,7,Trance,Electronic,14.20
Tomorrowland,2024,July,7,Afro House,Electronic,11.85
Tomorrowland,2024,July,7,Drum & Bass,Electronic,9.64
Tomorrowland,2023,July,7,Dance,Electronic,245.11
Tomorrowland,2023,July,7,Mainstream Pop,Pop,78.34
Tomorrowland,2023,July,7,House,Electronic,77.53
Tomorrowland,2023,July,7,Trance,Electronic,36.34
Tomorrowland,2023,July,7,Techno,Electronic,24.31
Tomorrowland,2023,July,7,Tech House,Electronic,16.41
Tomorrowland,2023,July,7,Melodic Techno,Electronic,14.52
Tomorrowland,2023,July,7,Deep House,Electronic,9.60
Tomorrowland,2023,July,7,Hardstyle/Hardcore,Electronic,9.78
Tomorrowland,2023,July,7,Afro House,Electronic,6.99
Tomorrowland,2022,July,7,Dance,Electronic,303.74
Tomorrowland,2022,July,7,Mainstream Pop,Pop,54.09
Tomorrowland,2022,July,7,House,Electronic,83.84
Tomorrowland,2022,July,7,Trance,Electronic,34.89
Tomorrowland,2022,July,7,Tech House,Electronic,30.63
Tomorrowland,2022,July,7,Techno,Electronic,20.50
Tomorrowland,2022,July,7,Electro House,Electronic,25.24
Tomorrowland,2022,July,7,Deep House,Electronic,15.59
Tomorrowland,2022,July,7,Hardstyle/Hardcore,Electronic,13.30
Tomorrowland,2022,July,7,Moombahton,Reggae,19.93
Tomorrowland,2020,July,7,Dance,Electronic,189.55
Tomorrowland,2020,July,7,Mainstream Pop,Pop,91.86
Tomorrowland,2020,July,7,Trance,Electronic,31.86
Tomorrowland,2020,July,7,Electro House,Electronic,25.24
Tomorrowland,2020,July,7,House,Electronic,16.02
Tomorrowland,2020,July,7,Techno,Electronic,8.62
Tomorrowland,2020,July,7,Deep House,Electronic,4.48
Tomorrowland,2020,July,7,Hardstyle/Hardcore,Electronic,3.29
Tomorrowland,2020,July,7,Trap/Future Bass,Electronic,3.49
Tomorrowland,2020,July,7,Melodic Techno,Electronic,3.16
Tomorrowland,2019,July,7,Dance,Electronic,338.63
Tomorrowland,2019,July,7,Mainstream Pop,Pop,161.37
Tomorrowland,2019,July,7,Latin Pop,Pop,90.11
Tomorrowland,2019,July,7,House,Electronic,92.21
Tomorrowland,2019,July,7,Trance,Electronic,40.71
Tomorrowland,2019,July,7,Reggaeton,Latin,73.28
Tomorrowland,2019,July,7,Tech House,Electronic,28.04
Tomorrowland,2019,July,7,Trap,Hip Hop,28.34
Tomorrowland,2019,July,7,Contemporary Hip Hop,Hip Hop,22.84
Tomorrowland,2019,July,7,Funk Carioca,Latin,22.40
Tomorrowland,2018,July,7,Dance,Electronic,345.30
Tomorrowland,2018,July,7,Mainstream Pop,Pop,191.98
Tomorrowland,2018,July,7,House,Electronic,79.02
Tomorrowland,2018,July,7,Trance,Electronic,41.27
Tomorrowland,2018,July,7,Electro House,Electronic,30.73
Tomorrowland,2018,July,7,Deep House,Electronic,20.85
Tomorrowland,2018,July,7,Techno,Electronic,16.30
Tomorrowland,2018,July,7,Hardstyle/Hardcore,Electronic,13.58
Tomorrowland,2018,July,7,Tech House,Electronic,12.18
Tomorrowland,2018,July,7,Contemporary Hip Hop,Hip Hop,11.54
