Festival,Year,Festival_Month,Festival_Month_Num,Festival_Dates,Artist,Country,Overall_Rank,Genre_Rank,Genre,Subgenre_Rank,Subgenre,Festival_Performances_Last_12M
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Alan Walker,NOR,73,3,Electronic,3,Dance,14
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,DJ Snake,FRA,137,6,Electronic,6,Dance,26
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Bizarrap,ARG,216,33,Hip Hop,22,Trap,1
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Martin Garrix,NLD,246,9,Electronic,10,Dance,21
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Major Lazer,JAM,322,14,Electronic,14,Dance,4
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Armin Van Buuren,NLD,631,20,Electronic,2,Trance,29
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Afrojack,NLD,908,30,Electronic,36,Dance,26
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Steve Aoki,USA,1025,33,Electronic,38,Dance,19
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Mike Posner,USA,1075,408,Pop,216,Mainstream Pop,6
Ultra Music Festival Miami,2026,March,3,Mar 27-29 2026,Alesso,SWE,1090,38,Electronic,42,Dance,17
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Martin Garrix,NLD,246,9,Electronic,10,Dance,22
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Tiësto,NLD,286,12,Electronic,13,Dance,25
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Skrillex,USA,318,13,Electronic,1,Dubstep,9
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Zedd,USA,589,18,Electronic,21,Dance,19
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Armin Van Buuren,NLD,631,20,Electronic,2,Trance,30
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Afrojack,NLD,908,30,Electronic,36,Dance,27
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Steve Aoki,USA,1025,33,Electronic,38,Dance,20
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Alesso,SWE,1090,38,Electronic,42,Dance,18
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,John Summit,USA,1240,43,Electronic,1,Tech House,35
Ultra Music Festival Miami,2025,March,3,Mar 28-30 2025,Hardwell,NLD,1385,46,Electronic,48,Dance,18
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,David Guetta,FRA,42,1,Electronic,1,Dance,11
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Alan Walker,NOR,73,3,Electronic,3,Dance,15
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Calvin Harris,GBR,78,4,Electronic,4,Dance,4
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Martin Garrix,NLD,246,9,Electronic,10,Dance,22
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Tiësto,NLD,286,12,Electronic,13,Dance,25
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Armin Van Buuren,NLD,631,20,Electronic,2,Trance,30
Ultra Music Festival Miami,2024,March,3,Mar 22-24 2024,Afrojack,NLD,908,30,Electronic,36,Dance,27
