Festival,Festival_Month,Festival_Month_Num,Rank,Country,YouTube_Views_Monthly_B,Spotify_Listeners_Monthly_M
Ultra Music Festival Miami,March,3,1,USA,0.2619,83.8
Ultra Music Festival Miami,March,3,2,MEX,0.0957,25.2
Ultra Music Festival Miami,March,3,3,IND,0.0898,7.7
Ultra Music Festival Miami,March,3,4,BRA,0.0822,17.8
Ultra Music Festival Miami,March,3,5,GBR,0.0782,34.2
Ultra Music Festival Miami,March,3,6,FRA,0.0571,7.4
Ultra Music Festival Miami,March,3,7,POL,0.0529,9.5
Ultra Music Festival Miami,March,3,8,DEU,0.0525,53.8
Ultra Music Festival Miami,March,3,9,IDN,0.0513,10.8
Ultra Music Festival Miami,March,3,10,CAN,0.0356,24.0
